govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id,Name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,party,state,status,district,ethnicity,race,gender,education,occupation,Office,email_official,email_other,email_campaign,Bio,date_of_birth,date_of_death,Image,website_campaign,website_official,website_personal,address_capitol,phone_capitol,fax_capitol,address_district,phone_district,fax_district,contact_form_url,address_campaign,phone_campaign,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID
,,,,,,ocd-person/fd14f876-4b18-4101-8ad4-d45d8586683a,,Adam C. Gray,Adam,C.,Gray,,,,Democratic,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/gray.png,,,,,,,"1010 Tenth Street, Suite 5800, Modesto, CA 95354",209-521-2111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/19c64d24-6578-4a4c-bf71-3f3ea51ce505,,Adrin Nazarian,Adrin,,Nazarian,,,,Democratic,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD46-Nazarian.jpg,,,,,,,"6150 Van Nuys Boulevard, Suite 300, Van Nuys, CA 91401",818-376-4246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/6c2a35d5-c04c-44d0-8bd9-92a625e2b525,,"Akilah Weber, M.D.",Akilah,,Weber,,,M.D.,Democratic,,Incumbent,State House District 51,,,,,,State Representative District 51,na,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad79-weber.jpg,,,,,,,"1350 Front Street, Suite 6046, San Diego, CA 92101",619-531-7913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/78610d0e-c790-4fc9-ab8e-0887adbbe063,,Al Muratsuchi,Al,,Muratsuchi,,,,Democratic,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad66.jpg,,,,,,,"3424 West Carson Street, Suite 450, Torrance, CA 90503",310-375-0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/5d0057a2-e04d-44ca-b1d5-fc55e113351a,,Alex Lee,Alex,,Lee,,,,Democratic,,Incumbent,State House District 51,,,,,,State Representative District 51,,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/lee-025.jpg,,,,,,,"1313 North Milpitas Boulevard, Suite 255, Milpitas, CA 95035",408-262-2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/50ff89eb-0e1c-4ca4-90e5-e21c51cb7d94,,Andreas Borgeas,Andreas,,Borgeas,,,,Republican,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/official_portrait_cropped_borgeas_4623_llsed1_2.jpg,,,,,,,"460 Sutter Hill Road, Suite C, Sutter Creek, CA 95685",209-267-5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/fe462917-df55-4a43-9fd8-970541544ca6,,Anna M. Caballero,Anna,M.,Caballero,,,,Democratic,,Incumbent,State House District 51,,,Female,,,State Representative District 51,,,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/2016-ad30_annacaballero.jpg,,,,,,,"132 W. Gabilan Street, Suite 101, Salinas, CA 93901",831-769-8040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/84f0dbbd-99dd-4ef2-9772-eb06047d847b,,Anthony J. Portantino,Anthony,J.,Portantino,,,,Democratic,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/portantino_0331_lscr.jpg,,,,,,,"201 E. Bonita Avenue, San Dimas, CA 91773",909-599-7351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/27c957dd-86a1-4bbe-9007-f4ebf931a795,,Anthony Rendon,Anthony,,Rendon,,,,Democratic,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad63-rendon_0.jpg,,,,,,,"4909 Lakewood Boulevard, Suite 400, Lakewood, CA 90712",562-529-3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ocd-person/820619fd-d053-4915-b099-1d134a880228,,Ash Kalra,Ash,,Kalra,,,,Democratic,,Incumbent,State House District 51,,,Male,,,State Representative District 51,,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad27_karla_roster150_20161205.jpg,,,,,,,"100 Paseo De San Antonio, Suite 319, San Jose, CA 95113",408-277-1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
