name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Robert Klingenberg,Robert,,Klingenberg,,,,https://images.squarespace-cdn.com/content/v1/61b13602b42d3170319fc7ba/a3527e72-596c-4f63-99e5-8f20819d47b0/IMG_6013_edited.jpg?format=750w,Democratic Party,U.S. Senate Kansas,U.S. Senator,KS,Challenger,Kansas Statewide,,,,,,,,,n/a,,contact@robertforussenate.com,n/a,,https://www.robertforussenate.com/,,,https://www.twitter.com/robertforkansas,,,,,,https://www.instagram.com/robertforussenate/,,https://www.facebook.com/robert.klingenberg.9406,https://www.facebook.com/profile.php?id=100077047690854,,,,,"PO Box 2524 Salina, KS 67402",n/a,n/a,(785) 376-3592,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
Laura Kelly,Laura,,Kelly,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Laura_Kelly_official_photo.jpg/440px-Laura_Kelly_official_photo.jpg,Democratic Party,,Kansas Governor,KS,Incumbent,,,,,,,,,,,,info@laurakellyforkansas.com,,,https://www.laurakellyforkansas.com/,https://www.twitter.com/GovLauraKelly,,https://www.twitter.com/laurakellyks,https://www.youtube.com/channel/UChH3fB2PkiJjZlo55c9UH2Q,,https://www.youtube.com/channel/UC5L-EctoRQU_rz2OqYDk6jg,https://www.instagram.com/govlaurakelly/,,https://www.instagram.com/laurakellyforkansas/,https://www.facebook.com/GovLauraKelly,,https://www.facebook.com/LauraKellyKS/,,,,,"P.O. BOX 2098 TOPEKA, KS 66601",,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Laura_Kelly,,,,,,,,,,ocd-division/country:us/state:ks,,
Lance Berland,Lance,,Berland,,,,,Republican Party,,Kansas Lieutenant Governor,KS,Challenger,,,,,,,,,,n/a,,,n/a,,,,https://www.twitter.com/SenatorBerland,,,,,,,,,https://www.facebook.com/lance.berland.98,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
Katie Sawyer,Katie,,Sawyer,,,,https://schmidtforkansas.com/wp-content/uploads/2022/06/SawyerKatie_Web.jpg,Republican Party,,Kansas Lieutenant Governor,KS,Challenger,,,,,,,,,,n/a,,,n/a,,https://schmidtforkansas.com/,,,,,,,,,,,https://www.facebook.com/katie.stockstillsawyer,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
David Toland,David,,Toland,,,,https://governor.kansas.gov/wp-content/uploads/2021/01/David-Toland-03.2020.jpg,Democratic Party,,Kansas Lieutenant Governor,KS,Incumbent,,,,,,,,,,,,,,,https://www.laurakellyforkansas.com/,https://www.twitter.com/LtGovToland,,,,,,,,,https://www.facebook.com/LtGovDavidToland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/David_Toland,,,,,,,,,,ocd-division/country:us/state:ks,,
Barry J. Franco,Barry,J.,Franco,,,,,Democratic Party,,Kansas Lieutenant Governor,KS,Challenger,,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,https://www.facebook.com/barry.franco.144,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,,
Steven Johnson,Steven,,Johnson,,,,http://www.kslegislature.org/li/m/images/pics/rep_johnson_steven_1.jpg,Republican Party,Kansas State Treasurer,Kansas State Treasurer,KS,Challenger,Kansas Statewide,,,,,,,,,n/a,,steven@stevenjohnsonks.com,n/a,,https://stevenjohnsonks.com/,,,https://www.twitter.com/stevenjohnsonks,,,,,,,,https://www.facebook.com/steven.johnson.188478,https://www.facebook.com/StevenJohnsonKS/,,,,,"P.O. Box 3571 Salina, KS 67402",n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,https://en.wikipedia.org/wiki/Steven_C._Johnson_(Kansas_politician),,,,,,,,,,ocd-division/country:us/state:ks,ocd-person/a7cbb327-24e1-4f6b-b0b7-47affa64a84a,
Caryn Tyson,Caryn,,Tyson,,,,http://www.kslegislature.org/li/m/images/pics/sen_tyson_caryn_1.jpg,Republican Party,Kansas State Treasurer,Kansas State Treasurer,KS,Challenger,Kansas Statewide,,,,,,,,,n/a,,contact@TeamTyson.org,n/a,,https://www.teamtyson.org/,,,,,,,,,,,,https://www.facebook.com/CarynTyson/,,,,,"P.O. Box 191 Parker, KS 66072",n/a,n/a,(913) 898-2366,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:ks,ocd-person/cc84252c-b7c6-484d-a036-dd38a90b1b04,
Lynn W. Rogers,Lynn,W.,Rogers,,,,,Democratic Party,Kansas State Treasurer,Kansas State Treasurer,KS,Incumbent,Kansas Statewide,,,,,,,,,,,,,,https://rogersforkansas.com/,https://www.twitter.com/LynnRogers4KS,,https://www.twitter.com/LynnRogers4KS,,,,https://www.instagram.com/treasurerrogers/,,,https://www.facebook.com/lynnrogersforkansas,,https://www.facebook.com/lynnrogersforkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lynn_Rogers_(politician),,,,,,,,,,ocd-division/country:us/state:ks,,
Scott J. Schwab,Scott,J.,Schwab,,,,,Republican Party,Kansas Secretary of State,Kansas Secretary of State,KS,Incumbent,Kansas Statewide,,,,,,,,,,,info@scottschwab.com,,,https://scottschwab.com/,,,,https://www.youtube.com/channel/UCtLiDyLmzO9qpEyqFwpB2UA,,,,,,,https://www.facebook.com/scott.schwab.397,,,,,,"10940 Parallel Pkwy Ste K, #246 Kansas City, KS 66109",,,,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Scott_Schwab,,,,,,,,,,ocd-division/country:us/state:ks,,
