name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Tom Arceneaux,Tom,,Arceneaux,,,,,Republican Party,,Louisiana Mayor,LA,Challenger,,,,,,,,,,n/a,,arceneauxtom@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(318) 222-6493,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/place:shreveport,,
"James Ray, Sr.",James,,Ray,,,Sr.,,Democratic Party,Louisiana State Senate District D (unexpired),Louisiana County Legislator,LA,Challenger,Louisiana State Senate District D (unexpired),,,,,,,,,n/a,,jameseraysr51@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(318) 542-9772,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:rapides/council_district:d,,
Mario C. Chavez,Mario,C.,Chavez,,,,,Unaffiliated,,Louisiana Mayor,LA,Challenger,,,,,,,,,,n/a,,mchavez@mersatech.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(318) 458-1943,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/place:shreveport,,
Lauren Ray Anderson,Lauren,Ray,Anderson,,,,,Libertarian Party,,Louisiana Mayor,LA,Challenger,,,,,,,,,,n/a,,lauren.ray.anderson@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(210) 957-9929,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/place:shreveport,,
Julius Romano,Julius,,Romano,,,,,Independent Party of Louisiana,,Louisiana Mayor,LA,Challenger,,,,,,,,,,n/a,,antonio40romano@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(214) 527-8819,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/place:shreveport,,
Guy McLendon,Guy,,McLendon,,,,,Libertarian Party,U.S. House Louisiana District 3,U.S. Representative,LA,Challenger,Louisiana Congressional District 3,,,,,,,,,n/a,,guymclendon@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(832) 372-8131,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:3,,
Xan John,Xan,,John,,,,,Other,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,thexanjohn@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(337) 581-7333,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,,
Gloria R. Wiggins,Gloria,R.,Wiggins,,,,,Independent Party of Louisiana,U.S. House Louisiana District 3,U.S. Representative,LA,Challenger,Louisiana Congressional District 3,,,,,,,,,n/a,,gloriawiggins.rep1@icloud.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(337) 471-1020,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/cd:3,,
W. Thomas La Fontaine Olson,,,,,,,https://senate.la.gov/SenatorPics/Sen35.jpg,Unaffiliated,U.S. SenateLouisiana,U.S. Senator,LA,Challenger,Louisiana Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la,ocd-person/9d6aa1d9-76b2-41ad-a3e0-4fa86da08645,
"Kenny A. Barthelemy, Sr.",Kenny,A.,Barthelemy,,,Sr.,,Democratic Party,Louisiana State Senate District 1,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 1,,,,,,,,,n/a,,kbarthelemy28@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 920-4021,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:1,,
Daniel Morrill,Daniel,,Morrill,,,,,Republican Party,Louisiana State Senate District 2,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 2,,,,,,,,,n/a,,d.a.morrill2@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 460-6003,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:2,,
Clay Higgins,Clay,,Higgins,,,,,Republican Party,U.S. House Louisiana District 3,U.S. Representative,LA,Incumbent,Louisiana Congressional District 3,,,Male,1961-08-24,,,,,,,info@captainhiggins.com,https://clayhiggins.house.gov,,,https://www.twitter.com/RepClayHiggins,,,,,,,,,https://www.facebook.com/CongressmanClayHiggins,,,,,,https://clayhiggins.house.gov/rss.xml,,572 Cannon House Office Building,,(337) 366-1721,202-225-2031,,,,,,,,,,,,,106094,412705,174484,,,21724,,/g/11c1s3lp76,,https://api.propublica.org/congress/v1/members/H001077.json,,,,H6LA03148,,,ocd-division/country:us/state:la/cd:3,,
Brian Champagne,Brian,,Champagne,,,,,Republican Party,Louisiana State Senate District 2,Louisiana County Legislator,LA,Challenger,Louisiana State Senate District 2,,,,,,,,,n/a,,brian.p.champagne@gmail.com,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,(504) 919-2324,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:2,,
Corey Arbourgh,Corey,,Arbourgh,,,,,Republican Party,Louisiana State Senate District 3,Louisiana County Legislator,LA,Incumbent,Louisiana State Senate District 3,,,,,,,,,,,carbourgh79@gmail.com,,,,,,,,,,,,,,,,,,,,,,,(504) 782-6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:la/parish:plaquemines/council_district:3,,
