name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Trent Kelly,Trent,,Kelly,,,,https://www.congress.gov/img/member/116_rp_ms_1_kelly_trent_200.jpg,Republican Party,U.S. House Mississippi District 1,U.S. Representative,MS,Incumbent,Mississippi Congressional District 1,,,Male,1966-03-01,,,,,,,info@kellyformississippi.com,https://trentkelly.house.gov,,https://kellyformississippi.com/,https://www.twitter.com/RepTrentKelly,,https://www.twitter.com/KellyforMS01,https://www.youtube.com/channel/UCtDrz-8tdg4ZgOAQHToSWaQ,,,https://www.instagram.com/reptrentkelly/,,,https://www.facebook.com/RepTrentKelly,,https://www.facebook.com/TrentKellyforCongress,https://www.linkedin.com/in/trent-kelly-8ba94b4a/,,,,"P.O. Box 7092, Tupelo, MS 38802",2243 Rayburn House Office Building,,,202-225-4306,,,,,,,,,,,,,97322,412673,156389,56601,,21561,https://en.wikipedia.org/wiki/Trent_Kelly,/m/013b9qgh,https://ballotpedia.org/Trent_Kelly,https://api.propublica.org/congress/v1/members/K000388.json,999,,,H6MS01131,,,ocd-division/country:us/state:ms/cd:1,,
Dianne Black,Dianne,,Black,,,,https://pbs.twimg.com/profile_images/1506429073244966913/oRWS27zl_400x400.png,Democratic Party,U.S. House Mississippi District 1,U.S. Representative,MS,Challenger,Mississippi Congressional District 1,,,Female,,,,,,n/a,,dianneblackforcongress@gmail.com,n/a,,,n/a,,https://www.twitter.com/Dianne4Congress,n/a,,,n/a,,https://www.instagram.com/DianneBlackforCongress,n/a,https://www.facebook.com/diannedodsonblackforuscongress,https://www.facebook.com/profile.php?id=100079140623639,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,312344,,,,,https://ballotpedia.org/Dianne_Black,,999,,,,,,ocd-division/country:us/state:ms/cd:1,,
James McCay,James,,McCay,,,,,Independent,U.S. House Mississippi District 1,U.S. Representative,MS,Challenger,Mississippi Congressional District 1,,,Male,,,,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,https://www.facebook.com/jim.mccay.9,,,,,,"326 Highway 2 NE, Corinth, MS 38834",n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,337264,,,,,https://ballotpedia.org/James_McCay,,999,,,,,,ocd-division/country:us/state:ms/cd:1,,
Bennie Thompson,Bennie,G.,Thompson,,,,https://benniethompson.house.gov/sites/benniethompson.house.gov/files/wysiwyg_uploaded/bennie_thompson_official_photo.jpg,Democratic Party,U.S. House Mississippi District 2,U.S. Representative,MS,Incumbent,Mississippi Congressional District 2,,,Male,1948-01-28,,,,,,,,https://benniethompson.house.gov,,,https://www.twitter.com/BennieGThompson,,https://www.twitter.com/BGThompsonMS,https://www.youtube.com/c/RepBennieThompson,,,https://www.instagram.com/benniegthompson/,,https://www.instagram.com/benniegthompson1/,https://www.facebook.com/CongressmanBennieGThompson,https://www.facebook.com/bennieforms,https://www.facebook.com/bennieforms,,,,https://benniethompson.house.gov/rss.xml,,2466 Rayburn House Office Building,,,202-225-5876,,,,,,,,,,,,,7304,400402,26929,3805,,29368,https://en.wikipedia.org/wiki/Bennie_Thompson,/m/033tc5,https://ballotpedia.org/Bennie_Thompson,https://api.propublica.org/congress/v1/members/T000193.json,11351,,,H4MS02068,,,ocd-division/country:us/state:ms/cd:2,,
Brian Flowers,Brian,,Flowers,,,,"https://img1.wsimg.com/isteam/ip/04f25c95-50ca-497d-bebc-7b6e58e47476/blob-0007.png/:/cr=t:0%25,l:0%25,w:100%25,h:100%25/rs=w:529,h:500,cg:true",Republican Party,U.S. House Mississippi District 2,U.S. Representative,MS,Challenger,Mississippi Congressional District 2,,,Male,,,,,,n/a,,brian@flowersforcongress.com,n/a,,https://flowersforcongress.com,n/a,,,n/a,,,n/a,,,n/a,https://www.facebook.com/brian.flowers.5074,https://www.facebook.com/BrianFlowersforMississippi2nd,https://www.linkedin.com/in/brian-flowers-01090055/,,,,,n/a,n/a,601-506-4885,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,321976,,,,,https://ballotpedia.org/Brian_Flowers,,11351,,,,,,ocd-division/country:us/state:ms/cd:2,,
Michael Guest,Michael,,Guest,,,,https://guest.house.gov/sites/evo-subsites/guest.house.gov/files/styles/large/public/wysiwyg_uploaded/Official%20Member%20Headshot%20-%20Rep.%20Michael%20Guest%20%28MS-03%29.jpg?itok=-VMYVSQ0,Republican Party,U.S. House Mississippi District 3,U.S. Representative,MS,Incumbent,Mississippi Congressional District 3,,,Male,1970-02-04,,,,,,,campaign@michaelguest.ms,https://guest.house.gov,,https://michaelguest.ms/,https://www.twitter.com/RepMichaelGuest,,https://www.twitter.com/GuestCongress,,,https://www.youtube.com/channel/UCRgNM_6JTv9LlQCM5HJWwFA,https://www.instagram.com/repmichaelguest/,,,https://www.facebook.com/RepMichaelGuest,,https://www.facebook.com/MichaelGuestMS,,,,,"P.O. Box 470 Brandon, MS 39043",418 Cannon House Office Building,,,202-225-5031,,,,,,,,,,,,,,412793,,293486,,,https://en.wikipedia.org/wiki/Michael_Guest_(politician),/g/11gtc4dxpz,https://ballotpedia.org/Michael_Guest,https://api.propublica.org/congress/v1/members/G000591.json,6865,,,H8MS03125,,,ocd-division/country:us/state:ms/cd:3,,
Shuwaski Young,Shuwaski,A.,Young,,,,https://e1.nmcdn.io/shuwaski/wp-content/themes/nmc_shuwaski/assets/homepage-cutout.png/v:1-width:546-height:602-fit:cover/homepage-cutout.webp?signature=e4c5711c,Democratic Party,U.S. House Mississippi District 3,U.S. Representative,MS,Challenger,Mississippi Congressional District 3,,,Male,,,,,,n/a,,info@shuwaskiyoung.com,n/a,,https://www.shuwaskiyoung.com/,n/a,https://www.twitter.com/s_young2021,https://www.twitter.com/shuwaskiyoung,n/a,,https://www.youtube.com/channel/UCgmyK5JU785cGZY_MQinjsQ,n/a,,https://www.instagram.com/shuwaskiyoung/,n/a,,https://www.facebook.com/shuwaskiyoungMS,https://www.linkedin.com/in/shuwaskiyoung/,,,,"P.O. Box 151, Jackson, MS 39205",n/a,n/a,(662) 314-3636,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,339977,,,,,https://ballotpedia.org/Shuwaski_Young,,6865,,,,,,ocd-division/country:us/state:ms/cd:3,,
Johnny DuPree,Johnny,L.,DuPree,,,,"https://static.wixstatic.com/media/eb6ad3_617007000c1e48cbb41cef4f6264205e~mv2.jpg/v1/crop/x_131,y_0,w_1787,h_2048/fill/w_369,h_423,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/HeadShot.jpg",Democratic Party,U.S. House Mississippi District 4,U.S. Representative,MS,Challenger,Mississippi Congressional District 4,,,Male,,,,,,n/a,johnnydupree2011@gmail.com,jdinfo@johnnydupree.com,n/a,,http://www.johnnydupree.com/,n/a,https://www.twitter.com/johnnyldupree,https://www.twitter.com/johnnyldupree,n/a,,,n/a,https://www.instagram.com/mayorjdupree/,,n/a,https://www.facebook.com/JohnnyDuPree,https://www.facebook.com/johnnyldupree,https://www.linkedin.com/in/johnnyldupree/,,,,"P.O. Box 574, Hattiesburg, MS 39403",n/a,n/a,601-408-7555,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,28946,,,https://en.wikipedia.org/wiki/Johnny_DuPree,,https://ballotpedia.org/Johnny_DuPree,,11843,,,,,,ocd-division/country:us/state:ms/cd:4,,
Alden Johnson,Alden,Patrick,Johnson,,,,https://aldenforcongress.com/images/aldenjohnsoncropped.png,Libertarian Party,U.S. House Mississippi District 4,U.S. Representative,MS,Challenger,Mississippi Congressional District 4,,,Male,,,,,,n/a,,alden4liberty22@gmail.com,n/a,,https://aldenforcongress.com/,n/a,,https://www.twitter.com/Alden4Congress,n/a,,,n/a,,https://www.instagram.com/alden4liberty/,n/a,https://www.facebook.com/alden.p.johnson.9,https://www.facebook.com/alden4liberty/,,,,,"123 Main Street, Petal, MS 39465",n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,337258,,,,,https://ballotpedia.org/Alden_Johnson,,11843,,,,,,ocd-division/country:us/state:ms/cd:4,,
Graham Hudson,Graham,,Hudson,,,,,Independent,U.S. House Mississippi District 4,U.S. Representative,MS,Challenger,Mississippi Congressional District 4,,,,,,,,,n/a,jgrahamh@gmail.com,grahamhudsonforcongress@gmail.com,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,,,,,"PO Box 17017, Hattiesburg, MS 39404",n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,337276,,,,,https://ballotpedia.org/Graham_Hudson,,11843,,,,,,ocd-division/country:us/state:ms/cd:4,,
Mike Ezell,Mike,,Ezell,,,,https://pbs.twimg.com/profile_images/1164629263166910464/QgdKNHtO_400x400.jpg,Republican Party,U.S. House Mississippi District 4,U.S. Representative,MS,Challenger,Mississippi Congressional District 4,,,Male,,,,,,n/a,,info@mikeezell.ms,n/a,,https://www.mikeezell.ms/,n/a,https://www.twitter.com/MikeEzell11,https://www.twitter.com/MikeEzellMS,n/a,,https://www.youtube.com/channel/UCwV9vwjFXb7JhuVpg-I_wMw,n/a,,https://www.instagram.com/MikeEzellMS/,n/a,https://www.facebook.com/mike.ezell.754,https://www.facebook.com/MikeEzellMS,https://www.linkedin.com/in/mike-ezell-33856880/,,,,"PO Box 1842, Gulfport, MS 39502",n/a,n/a,228-861-1779,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,338081,,,,,https://ballotpedia.org/Mike_Ezell,,11843,,,,,,ocd-division/country:us/state:ms/cd:4,,
Aaron Lee,Aaron,,Lee,,,,,Independent,U.S. House Mississippi District 4,U.S. Representative,MS,Challenger,Mississippi Congressional District 4,,,Male,,,,,,n/a,,lee_ms_house_4@lee4liberty.com,n/a,,https://lee4liberty.com/,n/a,,,n/a,,,n/a,,,n/a,https://www.facebook.com/profile.php?id=100031549786184,https://www.facebook.com/lee4liberty/,https://www.linkedin.com/in/aaron-p-lee-10/,,,,"1955 Kornman Dr, Biloxi, MS 39532",n/a,n/a,601-463-1622,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,342054,,,,,https://ballotpedia.org/Aaron_Lee,,11843,,,,,,ocd-division/country:us/state:ms/cd:4,,
Jim Greenlee,Jim,,Greenlee,,,,,Nonpartisan,Mississippi Court of Appeals District 1 Position 1 Jim Greenlee's seat,,MS,Incumbent,Mississippi Court of Appeals District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74212,,,,,https://ballotpedia.org/Jim_Greenlee,,25814,,,,,,ocd-division/country:us/state:ms/court_of_appeals:1,,
John H. Emfinger,John,H.,Emfinger,,,,,Nonpartisan,Mississippi Court of Appeals District 3 Position 2 John H. Emfinger's seat,,MS,Incumbent,Mississippi Court of Appeals District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75178,,,,,https://ballotpedia.org/John_H._Emfinger,,7002,,,,,,ocd-division/country:us/state:ms/court_of_appeals:3,,
Bruce Burton,Bruce,,Burton,,,,,Nonpartisan,Mississippi Court of Appeals District 4 Position 1 Virginia Carlton's seat,,MS,Challenger,Mississippi Court of Appeals District 4,,,Male,,,,,,n/a,votebruceburton@gmail.com,,n/a,,,n/a,,,n/a,,,n/a,,,n/a,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,6359,,,,,https://ballotpedia.org/Bruce_Burton,,7401,,,,,,ocd-division/country:us/state:ms/court_of_appeals:4,,
Virginia Carlton,Virginia,,Carlton,,,,,Nonpartisan,Mississippi Court of Appeals District 4 Position 1 Virginia Carlton's seat,,MS,Incumbent,Mississippi Court of Appeals District 4,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93141,,,,,https://ballotpedia.org/Virginia_Carlton,,7401,,,,,,ocd-division/country:us/state:ms/court_of_appeals:4,,
Abe Hudson,Abe,,Hudson,,,,http://billstatus.ls.state.ms.us/members/house/hudson.jpg,Democratic,Mississippi State House District 29,Mississippi State Representative,MS,Incumbent,Mississippi State House District 29,,,,,,,,,ahudson@house.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"207 Dr. RT Hollingsworth;Shelby, MS 38774",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/184a7a1f-940c-4b69-aee6-68f4eec9c84a,
Albert Butler,Albert,,Butler,,,,http://billstatus.ls.state.ms.us/members/senate/butler_(36th).jpg,Democratic,Mississippi State Senate District 36,Mississippi State Senator,MS,Incumbent,Mississippi State Senate District 36,,,,,,,,,abutler@senate.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"P. O. Box 614;Port Gibson, MS 39150",,,601-437-4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/c012fed5-c753-4a01-9c3c-9924d178c24d,
Alyce G. Clarke,Alyce,G.,Clarke,,,,http://billstatus.ls.state.ms.us/members/house/clarke.jpg,Democratic,Mississippi State House District 69,Mississippi State Representative,MS,Incumbent,Mississippi State House District 69,,,,,,,,,aclarke@house.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"1053 Arbor Vista Boulevard;Jackson, MS 39209",,,601-354-5453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/c5b5d0c1-fde4-45bf-90d0-daf1bf1820fb,
Angela Burks Hill,Angela,Burks,Hill,,,,http://billstatus.ls.state.ms.us/members/senate/hill.jpg,Republican,Mississippi State Senate District 40,Mississippi State Senator,MS,Incumbent,Mississippi State Senate District 40,,,,,,,,,ahill@senate.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"54 Watts Rd;Picayune, MS 39466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/4004cf9a-6d23-4323-b158-00f22078d2b4,
Angela Cockerham,Angela,,Cockerham,,,,http://billstatus.ls.state.ms.us/members/house/cockerham.jpg,Independent,Mississippi State House District 96,Mississippi State Representative,MS,Incumbent,Mississippi State House District 96,,,,,,,,,acockerham@house.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"Post Office Box 613;Magnolia, MS 39652",,,601-783-4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/83f9f72e-ec2d-4351-a227-d8a6aec18eed,
Angela Turner-Ford,Angela,,Turner-Ford,,,,http://billstatus.ls.state.ms.us/members/senate/turner-ford.jpg,Democratic,Mississippi State Senate District 16,Mississippi State Senator,MS,Incumbent,Mississippi State Senate District 16,,,,,,,,,aturner@senate.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"P. O. Drawer 1500;West Point, MS 39773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/74d0c9b2-58a2-41a7-b2a0-582924a45adf,
Barbara Blackmon,Barbara,,Blackmon,,,,http://billstatus.ls.state.ms.us/members/senate/blackmon.jpg,Democratic,Mississippi State Senate District 21,Mississippi State Senator,MS,Incumbent,Mississippi State Senate District 21,,,,,,,,,bblackmon@senate.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/3b2b3cb2-3ef8-400d-b395-6b0895ea7631,
Bart Williams,Bart,,Williams,,,,http://billstatus.ls.state.ms.us/members/senate/williams.jpg,Republican,Mississippi State Senate District 15,Mississippi State Senator,MS,Incumbent,Mississippi State Senate District 15,,,,,,,,,bwilliams@senate.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"508 New Hope Church Rd Starkville, Mississippi 39759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/5f65f3a3-db2a-4573-a5c8-59b6cc0dbf40,
Becky Currie,Becky,,Currie,,,,http://billstatus.ls.state.ms.us/members/house/currie.jpg,Republican,Mississippi State House District 92,Mississippi State Representative,MS,Incumbent,Mississippi State House District 92,,,,,,,,,bcurrie@house.ms.gov,,,,,,,,,,,,,,,,,,,,,,,,"407 Oliver Dr;Brookhaven, MS 39601",,,601-833-5953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-person/4b865b47-4811-4437-be08-0f3bf10d461c,
