name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,Image,party,Office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,Bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Richard R. Dase,Richard,R.,Dase,,,,,Republican Party,New Jersey State Senate District 4,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:atlantic/council_district:4,,
Habib Rehman,Habib,,Rehman,,,,,Democratic Party,New Jersey State Senate At-Large,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate At-Large,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:atlantic,,
Amy Gatto,Amy,,Gatto,,,,,Republican Party,New Jersey State Senate At-Large,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate At-Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:atlantic,,
Suzanne Maeder,Suzanne,,Maeder,,,,,Republican Party,Somerset County Clerk,Somerset County Clerk,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
Steve Peter,Steve,,Peter,,,,,Democratic Party,Somerset County Clerk,Somerset County Clerk,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
Melonie Marano,Melonie,,Marano,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Incumbent,New Jersey State Senate nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
Amber Murad,Amber,,Murad,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
Michael F. Strada,Michael,F.,Strada,,,,,Republican Party,Somerset County Sheriff,Somerset County Sheriff,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
John Sheridan,John,,Sheridan,,,,,Republican Party,Somerset County Sheriff,Somerset County Sheriff,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
Darrin Russo,Darrin,,Russo,,,,,Democratic Party,Somerset County Sheriff,Somerset County Sheriff,NJ,Incumbent,New Jersey Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:somerset,,
James H. Kostoplis,James,H.,Kostoplis,,,,,Democratic Party,Burlington County Sheriff,Burlington County Sheriff,NJ,Challenger,New Jersey Statewide,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:burlington,,
Joe Miller,Joe,,Miller,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:camden,,
Michael Chianese,Michael,,Chianese,,,,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:mercer,,
Cathleen Lewis,Cathleen,,Lewis,,,,,Democratic Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:mercer,,
"Andrew Kotola, Jr.",Andrew,,Kotola,,,Jr.,,Republican Party,New Jersey State Senate nan,New Jersey County Legislator,NJ,Challenger,New Jersey State Senate nan,,,,,,,,,n/a,,,n/a,,,,,,,,,,,,,,,,,,,,n/a,n/a,,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,ocd-division/country:us/state:nj/county:mercer,,
