Researcher,id,name,State,official biography,biography,facebook,Facebook (Official),Facebook (Personal),Facebook (Campaign),twitter,Twitter (Official),Twitter (Personal),Twitter (Campaign),current_party,current_district,current_chamber,title,status,given_name,family_name,gender,email,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,youtube,instagram,Instagram (Official),Instagram (Personal),Instagram (Campaign),Campaign mailing address,Campaign phone,LinkedIn
,n/a,Doug LaMalfa,CA,,,n/a,n/a,https://www.facebook.com/doug.lamalfa,https://www.facebook.com/LaMalfaUSRep,n/a,n/a,, https://www.twitter.com/DougLaMalfa,Republican Party,U.S. House California District 1,U.S. House California District 1,,Candidate,Doug,LaMalfa,Male,doug@douglamalfa.com,,n/a,,n/a,http://douglamalfa.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,https://www.instagram.com/doug.lamalfa/,,"1900 Oro Dam Blvd. E, Suite 12-254, Oroville, CA 95966",530-712-3675,
,n/a,Max Steiner,CA,,,n/a,n/a,,https://www.facebook.com/MaxSteinerForCongress,n/a,n/a, https://www.twitter.com/heraldmax, https://www.twitter.com/MaxSteinerCA,Democratic Party,U.S. House California District 1,U.S. House California District 1,,Candidate,Max,Steiner,Male,info@maxsteinerforcongress.com,,n/a,,n/a,https://maxsteinerforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/maxsteinerforcongress/,"499 S Capitol Street SW Suite 407, Washington, DC 20003",,https://www.linkedin.com/in/steinermax/
,n/a,Doug LaMalfa,CA,,,n/a,n/a,https://www.facebook.com/doug.lamalfa,https://www.facebook.com/LaMalfaUSRep,n/a,n/a,, https://www.twitter.com/DougLaMalfa,Republican Party,U.S. House California District 1,U.S. House California District 1,,Candidate,Doug,LaMalfa,Male,doug@douglamalfa.com,,n/a,,n/a,http://douglamalfa.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,https://www.instagram.com/doug.lamalfa/,,"1900 Oro Dam Blvd. E, Suite 12-254, Oroville, CA 95966",530-712-3675,
,n/a,Max Steiner,CA,,,n/a,n/a,,https://www.facebook.com/MaxSteinerForCongress,n/a,n/a, https://www.twitter.com/heraldmax, https://www.twitter.com/MaxSteinerCA,Democratic Party,U.S. House California District 1,U.S. House California District 1,,Candidate,Max,Steiner,Male,info@maxsteinerforcongress.com,,n/a,,n/a,https://maxsteinerforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/maxsteinerforcongress/,"499 S Capitol Street SW Suite 407, Washington, DC 20003",,https://www.linkedin.com/in/steinermax/
,n/a,Mark DeSaulnier,CA,,,n/a,n/a,https://www.facebook.com/mark.desaulnier.37,https://www.facebook.com/MarkDeSaulnier,n/a,n/a,, https://www.twitter.com/MarkDeSaulnier,Democratic Party,U.S. House California District 10,U.S. House California District 10,,Candidate,Mark,DeSaulnier,Male,teammarkdesaulnier@gmail.com,,n/a,,n/a,https://desaulnierforcongress.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,925-957-1123,
,n/a,Michael Ernest Kerr,CA,,,n/a,n/a,,,n/a,n/a, https://www.twitter.com/mekorganic,,Green Party,U.S. House California District 10,U.S. House California District 10,,Candidate,Michael,Kerr,Male,MichaelKerrForCongress@yahoo.com,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,https://www.instagram.com/mekorganic/,,,925-219-6518,
,n/a,Mark DeSaulnier,CA,,,n/a,n/a,https://www.facebook.com/mark.desaulnier.37,https://www.facebook.com/MarkDeSaulnier,n/a,n/a,, https://www.twitter.com/MarkDeSaulnier,Democratic Party,U.S. House California District 10,U.S. House California District 10,,Candidate,Mark,DeSaulnier,Male,teammarkdesaulnier@gmail.com,,n/a,,n/a,https://desaulnierforcongress.com,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,,,925-957-1123,
,n/a,Michael Ernest Kerr,CA,,,n/a,n/a,,,n/a,n/a, https://www.twitter.com/mekorganic,,Green Party,U.S. House California District 10,U.S. House California District 10,,Candidate,Michael,Kerr,Male,MichaelKerrForCongress@yahoo.com,,n/a,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,https://www.instagram.com/mekorganic/,,,925-219-6518,
,n/a,John Dennis,CA,,,n/a,n/a,https://www.facebook.com/JohnhDennis,https://www.facebook.com/johndennis2020,n/a,n/a,, https://www.twitter.com/RealJohnDennis,Republican Party,U.S. House California District 11,U.S. House California District 11,,Candidate,John,Dennis,Male,info@johndennis.com,,n/a,,n/a,https://www.johndennisforcongress.com/,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/realjohndennis/,"1592 Union Street Box 347, San Francisco, CA 94123",,https://www.linkedin.com/in/john-dennis-aa1b876/
,n/a,Nancy Pelosi,CA,,,n/a,n/a,,https://www.facebook.com/pelosiforcongress/,n/a,n/a,, https://www.twitter.com/TeamPelosi,Democratic Party,U.S. House California District 11,U.S. House California District 11,,Candidate,Nancy,Pelosi,Female,teampelosi@gmail.com,,n/a,,n/a,https://www.pelosiforcongress.org,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,,https://www.instagram.com/team_pelosi/,"1459 18th St #359, San Francisco, CA 94107",,
