govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id,Name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,party,state,status,district,ethnicity,race,gender,education,occupation,Office,email_official,email_other,email_campaign,Bio,date_of_birth,date_of_death,Image,website_campaign,website_official,website_personal,address_capitol,phone_capitol,fax_capitol,address_district,phone_district,fax_district,contact_form_url,address_campaign,phone_campaign,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID
,,H4NC12100,,,ocd-division/country:us/state:nc/cd:12,,,Alma Adams,Alma,,Adams,,,,Democratic Party,NC,Incumbent,North Carolina District 12,,,Female,,,U.S. House North Carolina District 12,,,,,1946-05-27,,,,https://adams.house.gov,,2436 Rayburn House Office Building,202-225-1510,,,,,,,,,,,,,,https://www.twitter.com/RepAdams,,,,,,,,,https://www.facebook.com/CongresswomanAdams,,,,,,https://adams.house.gov/rss.xml,,,76386,412607,5935,,,21545,,/m/02b45d,,https://api.propublica.org/congress/v1/members/A000370.json,
,,H6AL04098,,,ocd-division/country:us/state:al/cd:4,,,Robert B. Aderholt,Robert,B.,Aderholt,,,,Republican Party,AL,Incumbent,Alabama District 4,,,Male,,,U.S. House Alabama District 4,,,,,1965-07-22,,,,https://aderholt.house.gov,,266 Cannon House Office Building,202-225-4876,,,,,,,,,,,,,,https://www.twitter.com/Robert_Aderholt,,,https://www.youtube.com/c/RobertAderholt,,,,,,https://www.facebook.com/RobertAderholt,,,,,,https://aderholt.house.gov/rss.xml,,,45516,400004,441,,,29701,,/m/024p03,,https://api.propublica.org/congress/v1/members/A000055.json,
,,H2CA31125,,,ocd-division/country:us/state:ca/cd:31,,,Pete Aguilar,Pete,,Aguilar,,,,Democratic Party,CA,Incumbent,California District 31,,,Male,,,U.S. House California District 31,,,,,1979-06-19,,,,https://aguilar.house.gov,,109 Cannon House Office Building,202-225-3201,,,,,,,,,,,,,,https://www.twitter.com/reppeteaguilar,,,,,,,,,https://www.facebook.com/reppeteaguilar,,,,,,,,,79994,412615,70114,,,21506,,/m/0jwv0xf,,https://api.propublica.org/congress/v1/members/A000371.json,
,,H2GA12121,,,ocd-division/country:us/state:ga/cd:12,,,Rick Allen,Rick,,Allen,,,,Republican Party,GA,Incumbent,Georgia District 12,,,Male,,,U.S. House Georgia District 12,,,,,1951-11-07,,,,https://allen.house.gov,,570 Cannon House Office Building,202-225-2823,,,,,,,,,,,,,,https://www.twitter.com/reprickallen,,,,,,,,,https://www.facebook.com/CongressmanRickAllen,,,,,,,,,62545,412625,136062,,,21516,,/m/0127y9dk,,https://api.propublica.org/congress/v1/members/A000372.json,
,,H8TX32098,,,ocd-division/country:us/state:tx/cd:32,,,Colin Allred,Colin,,Allred,,,,Democratic Party,TX,Incumbent,Texas District 32,,,Male,,,U.S. House Texas District 32,,,,,1983-04-15,,,,https://allred.house.gov,,114 Cannon House Office Building,202-225-2231,,,,,,,,,,,,,,https://www.twitter.com/RepColinAllred,,,,,,,,,,,,,,,,,,,412828,177357,,,,,/m/03d066b,,https://api.propublica.org/congress/v1/members/A000376.json,
,,H2NV02395,,,ocd-division/country:us/state:nv/cd:2,,,Mark Amodei,Mark,,Amodei,,,,Republican Party,NV,Incumbent,Nevada District 2,,,Male,,,U.S. House Nevada District 2,,,,,1958-06-12,,,,https://amodei.house.gov,,104 Cannon House Office Building,202-225-6155,,,,,,,,,,,,,,https://www.twitter.com/MarkAmodeiNV2,,,https://www.youtube.com/c/markamodeinv2,,,,,,https://www.facebook.com/MarkAmodeiNV2,,,,,,,,,62817,412500,12537,,,21196,,/m/03bzdkn,,https://api.propublica.org/congress/v1/members/A000369.json,
,,H8ND00096,,,ocd-division/country:us/state:nd/cd:1,,,Kelly Armstrong,Kelly,,Armstrong,,,,Republican Party,ND,Incumbent,North Dakota At-Large District,,,Male,,,U.S. House North Dakota At-Large District,,,,,1976-10-08,,,,https://armstrong.house.gov,,1740 Longworth House Office Building,202-225-2611,,,,,,,,,,,,,,https://www.twitter.com/RepArmstrongND,,,,,,,,,,,,,,,,,,,412794,139338,,,,,/g/11hcszksh3,,https://api.propublica.org/congress/v1/members/A000377.json,
,,H6TX19099,,,ocd-division/country:us/state:tx/cd:19,,,Jodey Arrington,Jodey,,Arrington,,,,Republican Party,TX,Incumbent,Texas District 19,,,Male,,,U.S. House Texas District 19,,,,,1972-03-09,,,,https://arrington.house.gov,,1107 Longworth House Office Building,202-225-4005,,,,,,,,,,,,,,https://www.twitter.com/RepArrington,,,,,,,,,https://www.facebook.com/JodeyArrington,,,,,,,,,1016482,412726,155685,,,21700,,/m/0g9_f_1,,https://api.propublica.org/congress/v1/members/A000375.json,
,,H0MA04192,,,ocd-division/country:us/state:ma/cd:4,,,Jake Auchincloss,Jake,,Auchincloss,,,,Democratic Party,MA,Incumbent,Massachusetts District 4,,,Male,,,U.S. House Massachusetts District 4,,,,,1988-01-29,,,,https://auchincloss.house.gov,,1524 Longworth House Office Building,202-225-5931,,,,,,,,,,,,,,https://www.twitter.com/RepAuchincloss,,,,,,,,,,,,,,,,,,,456825,,,,,,/g/11f0xw2_p4,,https://api.propublica.org/congress/v1/members/A000148.json,
,,H8IA03124,,,ocd-division/country:us/state:ia/cd:3,,,Cynthia Axne,Cynthia,,Axne,,,,Democratic Party,IA,Incumbent,Iowa District 3,,,Female,,,U.S. House Iowa District 3,,,,,1965-04-20,,,,https://axne.house.gov,,1034 Longworth House Office Building,202-225-5476,,,,,,,,,,,,,,https://www.twitter.com/RepCindyAxne,,,,,,,,,,,,,,,,,,,412772,179226,,,,,/g/11fgktcgcb,,https://api.propublica.org/congress/v1/members/A000378.json,
