id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,senate_class,state_rank,lis_id
A000370,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000370.json,Alma,,Adams,,1946-05-27,F,D,,RepAdams,CongresswomanAdams,,412607,76386,5935,21545,N00035451,/m/02b45d,H4NC12100,https://adams.house.gov,https://adams.house.gov/rss.xml,,True,,-0.465,,10,2022,865.0,3.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:nc/cd:12,2436 Rayburn House Office Building,202-225-1510,,NC,12,False,3712,0.35,98.95,0.93,,,
A000055,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000055.json,Robert,B.,Aderholt,,1965-07-22,M,R,,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,H6AL04098,https://aderholt.house.gov,https://aderholt.house.gov/rss.xml,,True,,0.38,,26,2022,865.0,12.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:al/cd:4,266 Cannon House Office Building,202-225-4876,,AL,4,False,0104,1.39,96.1,3.78,,,
A000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000371.json,Pete,,Aguilar,,1979-06-19,M,D,House Democratic Caucus Vice Chair,reppeteaguilar,reppeteaguilar,,412615,79994,70114,21506,N00033997,/m/0jwv0xf,H2CA31125,https://aguilar.house.gov,,,True,,-0.295,,8,2022,865.0,3.0,0.0,2022-08-09 11:30:25 -0400,ocd-division/country:us/state:ca/cd:31,109 Cannon House Office Building,202-225-3201,,CA,31,False,0631,0.35,98.84,1.05,,,
A000372,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000372.json,Rick,,Allen,,1951-11-07,M,R,,reprickallen,CongressmanRickAllen,,412625,62545,136062,21516,N00033720,/m/0127y9dk,H2GA12121,https://allen.house.gov,,,True,,0.696,,8,2022,865.0,28.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:ga/cd:12,570 Cannon House Office Building,202-225-2823,,GA,12,False,1312,3.24,91.35,8.53,,,
A000376,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000376.json,Colin,,Allred,,1983-04-15,M,D,,RepColinAllred,,,412828,,177357,,N00040989,/m/03d066b,H8TX32098,https://allred.house.gov,,,True,,,,4,2022,865.0,0.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:tx/cd:32,114 Cannon House Office Building,202-225-2231,,TX,32,False,4832,0.0,98.03,1.85,,,
A000369,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000369.json,Mark,,Amodei,,1958-06-12,M,R,,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,412500,62817,12537,21196,N00031177,/m/03bzdkn,H2NV02395,https://amodei.house.gov,,,True,,0.382,,12,2022,865.0,9.0,0.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:nv/cd:2,104 Cannon House Office Building,202-225-6155,,NV,2,False,3202,1.04,96.12,3.76,,,
A000377,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000377.json,Kelly,,Armstrong,,1976-10-08,M,R,,RepArmstrongND,,,412794,,139338,,N00042868,/g/11hcszksh3,H8ND00096,https://armstrong.house.gov,,,True,,,,4,2022,865.0,47.0,1.0,2022-08-09 11:30:23 -0400,ocd-division/country:us/state:nd/cd:1,1740 Longworth House Office Building,202-225-2611,,ND,At-Large,True,3800,5.43,95.81,4.06,,,
A000375,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000375.json,Jodey,,Arrington,,1972-03-09,M,R,,RepArrington,JodeyArrington,,412726,1016482,155685,21700,N00038285,/m/0g9_f_1,H6TX19099,https://arrington.house.gov,,,True,,0.658,,6,2022,865.0,82.0,0.0,2022-08-09 12:00:38 -0400,ocd-division/country:us/state:tx/cd:19,1107 Longworth House Office Building,202-225-4005,,TX,19,False,4819,9.48,89.32,10.55,,,
A000148,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000148.json,Jake,,Auchincloss,,1988-01-29,M,D,,RepAuchincloss,,,456825,,,,N00045506,/g/11f0xw2_p4,H0MA04192,https://auchincloss.house.gov,,,True,,,,2,2022,865.0,3.0,0.0,2022-08-09 11:30:26 -0400,ocd-division/country:us/state:ma/cd:4,1524 Longworth House Office Building,202-225-5931,,MA,4,False,2504,0.35,99.07,0.81,,,
A000378,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000378.json,Cynthia,,Axne,,1965-04-20,F,D,,RepCindyAxne,,,412772,,179226,,N00041104,/g/11fgktcgcb,H8IA03124,https://axne.house.gov,,,True,,,,4,2022,865.0,1.0,0.0,2022-08-09 11:30:24 -0400,ocd-division/country:us/state:ia/cd:3,1034 Longworth House Office Building,202-225-5476,,IA,3,False,1903,0.12,97.33,2.55,,,
B001291,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001291.json,Brian,,Babin,,1948-03-23,M,R,,RepBrianBabin,RepBrianBabin,,412655,44883,360,21551,N00005736,/m/010qgj35,H6TX02079,https://babin.house.gov,,,True,,0.707,,8,2022,865.0,13.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:tx/cd:36,2236 Rayburn House Office Building,202-225-1555,,TX,36,False,4836,1.5,91.03,8.85,,,
B001298,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001298.json,Don,,Bacon,,1963-08-16,M,R,,repdonbacon,RepDonBacon,,412713,103442,166299,21701,N00037049,/m/01311t71,H6NE02125,https://bacon.house.gov,,,True,,0.359,,6,2022,865.0,1.0,0.0,2022-08-09 11:30:22 -0400,ocd-division/country:us/state:ne/cd:2,1024 Longworth House Office Building,202-225-4155,,NE,2,False,3102,0.12,91.14,8.74,,,
