id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/4183f327-e2a6-4b1a-9d23-161da1b5e261,Aaron Michlewitz,Democratic,3rd Suffolk,lower,Aaron,Michlewitz,Male,Aaron.M.Michlewitz@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AMM1.jpg,https://malegislature.gov/Legislators/Profile/AMM1,https://malegislature.gov/Legislators/Profile/AMM1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AMM1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/9b401ed2-b8a6-446d-87f1-080f944360a8,Adam G. Hinds,Democratic,"Berkshire, Hampshire, Franklin and Hampden",upper,Adam,Hinds,Male,adam.hinds@masenate.gov,,,,https://malegislature.gov/Legislators/Profile/170/AGH0.jpg,https://malegislature.gov/Legislators/Profile/AGH0,https://malegislature.gov/Legislators/Profile/AGH0;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AGH0;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,"100 North Street;Suite 410;Pittsfield, MA 01201",413-344-4561,,,,,,
ocd-person/d2a82a0d-fbd1-4448-be2d-b786a7e11168,Adam Gomez,Democratic,Hampden,upper,Adam,Gomez,,Adam.Gomez@masenate.gov,,,,https://malegislature.gov/Legislators/Profile/170/A_G0.jpg,https://malegislature.gov/Legislators/Profile/A_G0,https://malegislature.gov/Legislators/Profile/A_G0;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/A_G0;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/804c5518-7fdf-43c9-ba24-f2c24eb3b0ab,Adam J. Scanlon,Democratic,14th Bristol,lower,,,,Adam.Scanlon@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AJS1.jpg,https://malegislature.gov/Legislators/Profile/AJS1,https://malegislature.gov/Legislators/Profile/AJS1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AJS1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/f8772f1e-29f7-42e2-8a8c-ab4005153b05,Adrian C. Madaro,Democratic,1st Suffolk,lower,Adrian,Madaro,Male,Adrian.Madaro@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/ACM1.jpg,https://malegislature.gov/Legislators/Profile/ACM1,https://malegislature.gov/Legislators/Profile/ACM1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/ACM1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/6e81dcb7-4a04-4a88-b5f2-728a3336cf9d,Alan Silvia,Democratic,7th Bristol,lower,Alan,Silvia,Male,Alan.Silvia@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/A_S1.jpg,https://malegislature.gov/Legislators/Profile/A_S1,https://malegislature.gov/Legislators/Profile/A_S1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/A_S1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,"1664 South Main St.;Fall River, MA 02724",774-526-1122,,,,,,
ocd-person/2a9569a0-feaf-431d-8a8d-012d8ebccbf8,Alice Hanlon Peisch,Democratic,14th Norfolk,lower,Alice Hanlon,Peisch,Female,Alice.Peisch@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AHP1.jpg,https://malegislature.gov/Legislators/Profile/AHP1,https://malegislature.gov/Legislators/Profile/AHP1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AHP1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/bed31f9a-e759-41a5-80b6-8b6bb9a64762,Alyson M. Sullivan,Republican,7th Plymouth,lower,,,Female,alyson.sullivan@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AMS2.jpg,https://malegislature.gov/Legislators/Profile/AMS2,https://malegislature.gov/Legislators/Profile/AMS2;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AMS2;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/c1f81bec-d032-4f41-940c-ca32f2b5af12,Andres X. Vargas,Democratic,3rd Essex,lower,Andres X.,Vargas,Male,andy.vargas@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AXV1.jpg,https://malegislature.gov/Legislators/Profile/AXV1,https://malegislature.gov/Legislators/Profile/AXV1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AXV1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,,,,,,,,
ocd-person/8302648f-4ed2-454e-ad1e-d7389e25b8dc,"Angelo J. Puppolo, Jr.",Democratic,12th Hampden,lower,Angelo,Puppolo,Male,Angelo.Puppolo@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AJP1.jpg,https://malegislature.gov/Legislators/Profile/AJP1,https://malegislature.gov/Legislators/Profile/AJP1;http://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AJP1;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/,,,,"2341 Boston Road;Suite 204;Wilbraham, MA 01095",413-596-4333,,,,,,
