name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Diana DeGette,Diana,,DeGette,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Diana_DeGette_official_photo.jpg/1200px-Diana_DeGette_official_photo.jpg,Democratic Party,U.S. House Colorado District 1,U.S. Representative,CO,Incumbent,Colorado Congressional District 1,,,Female,1957-07-29,,,,,,,campaign@degette.com,https://degette.house.gov,,https://degette.com/,https://www.twitter.com/RepDianaDeGette,,https://www.twitter.com/DeGette5280,https://www.youtube.com/user/RepDianaDeGette/,,,https://www.instagram.com/repdianadegette/,,,https://www.facebook.com/degette,,https://www.facebook.com/degette,,,,https://degette.house.gov/rss.xml,"PO Box 61337, Denver, CO 80206",2111 Rayburn House Office Building,,(303) 832-1925,202-225-4431,,,,,,,,,,,,,90293,400101,561,14483,,29710,https://en.wikipedia.org/wiki/Diana_DeGette,/m/024z95,https://ballotpedia.org/Diana_DeGette,https://api.propublica.org/congress/v1/members/D000197.json,6359,,,H6CO01141,,,ocd-division/country:us/state:co/cd:1,,
Dom Waters,Dom,,Waters,,,,,Unity Party of Colorado,U.S. House Colorado District 1,U.S. Representative,CO,Challenger,Colorado Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339940,,,,,https://ballotpedia.org/Dom_Waters,,6359,,,,,,ocd-division/country:us/state:co/cd:1,,
Steven Childs,Steven,,Childs,,,,,Libertarian Party,U.S. House Colorado District 1,U.S. Representative,CO,Challenger,Colorado Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351854,,,,,https://ballotpedia.org/Steven_Childs,,6359,,,,,,ocd-division/country:us/state:co/cd:1,,
John Kittleson,John,,Kittleson,,,,,Libertarian Party,U.S. House Colorado District 1,U.S. Representative,CO,Challenger,Colorado Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351858,,,,,https://ballotpedia.org/John_Kittleson,,6359,,,,,,ocd-division/country:us/state:co/cd:1,,
Jennifer Qualteri,Jennifer,,Qualteri,,,,,Republican Party,U.S. House Colorado District 1,U.S. Representative,CO,Challenger,Colorado Congressional District 1,,,Female,,,,,,,,jennifer@jq4congressco.com,,,https://jq4congressco.com/,,https://www.twitter.com/JQualteri,https://www.twitter.com/JQualteri,,,,,https://www.instagram.com/jq_x_5/,,,https://www.facebook.com/jennifer.qualteri,https://www.facebook.com/JQ4congressCo/,,,,,,,,,,,,,,,,,,,,,,,,,361825,,,,,https://ballotpedia.org/Jennifer_Qualteri,,6359,,,,,,ocd-division/country:us/state:co/cd:1,,
Iris Boswell,Iris,,Boswell,,,,,Green Party,U.S. House Colorado District 1,U.S. Representative,CO,Challenger,Colorado Congressional District 1,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374087,,,,,https://ballotpedia.org/Iris_Boswell,,6359,,,,,,ocd-division/country:us/state:co/cd:1,,
Joe Neguse,Joe,,Neguse,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Joe_Neguse%2C_official_portrait%2C_116th_Congress.jpg/1200px-Joe_Neguse%2C_official_portrait%2C_116th_Congress.jpg,Democratic Party,U.S. House Colorado District 2,U.S. Representative,CO,Incumbent,Colorado Congressional District 2,,,Male,1984-05-13,,,,,,,info@joeneguseforcongress.com,https://neguse.house.gov,,https://joeforcolorado.com/,https://www.twitter.com/RepJoeNeguse,,https://www.twitter.com/JoeNeguse,https://www.youtube.com/channel/UCukNKhsFrzM-LFtp43XPQtg,,https://www.youtube.com/channel/UCksOAyZVGPLiWh9PjnApXAQ,https://www.instagram.com/repjoeneguse/,,https://www.instagram.com/JoeNeguse/,https://www.facebook.com/RepJoeNeguse,https://www.facebook.com/joe.neguse,https://www.facebook.com/joeneguseforcongress,,,,,,1419 Longworth House Office Building,,(720) 432-3769,202-225-2161,,,,,,,,,,,,,,412761,151075,26958,,,https://en.wikipedia.org/wiki/Joe_Neguse,/g/11gnsnch0m,https://ballotpedia.org/Joe_Neguse,https://api.propublica.org/congress/v1/members/N000191.json,585,,,H8CO02160,,,ocd-division/country:us/state:co/cd:2,,
Marshall Dawson,Marshall,,Dawson,,,,,Republican Party,U.S. House Colorado District 2,U.S. Representative,CO,Challenger,Colorado Congressional District 2,,,Male,,,,,,,,marshall@dawsonforcongress.com,,,https://dawsonforcongress.com/,,,,,,,,,,,https://www.facebook.com/marshalldawson,https://www.facebook.com/dawsonforcongress,,,,,,,,,,,,,,,,,,,,,,,,,361826,,,,,https://ballotpedia.org/Marshall_Dawson,,585,,,,,,ocd-division/country:us/state:co/cd:2,,
Gary Nation,Gary,,Nation,,,,,American Constitution Party,U.S. House Colorado District 2,U.S. Representative,CO,Challenger,Colorado Congressional District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365637,,,,,https://ballotpedia.org/Gary_Nation,,585,,,,,,ocd-division/country:us/state:co/cd:2,,
Steve Yurash,Steve,,Yurash,,,,,Colorado Center Party,U.S. House Colorado District 2,U.S. Representative,CO,Challenger,Colorado Congressional District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372545,,,,,https://ballotpedia.org/Steve_Yurash,,585,,,,,,ocd-division/country:us/state:co/cd:2,,
Richard Tetu,Richard,,Tetu,,,,,Independent,U.S. House Colorado District 3,U.S. Representative,CO,Challenger,Colorado Congressional District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307100,,,,,https://ballotpedia.org/Richard_Tetu,,1332,,,,,,ocd-division/country:us/state:co/cd:3,,
Lauren Boebert,Lauren,,Boebert,,,,https://boebert.house.gov/sites/evo-subsites/boebert.house.gov/files/evo-media-image/rep-lauren-boebert.jpg,Republican Party,U.S. House Colorado District 3,U.S. Representative,CO,Incumbent,Colorado Congressional District 3,,,Female,1986-12-15,,,,,,,info@laurenforcolorado.com,https://boebert.house.gov,,https://laurenforcolorado.com/,https://www.twitter.com/repboebert,,https://www.twitter.com/laurenboebert,https://www.youtube.com/channel/UC2WsigwY3MKB-n6GbQ7fkTQ,,https://www.youtube.com/channel/UClCMOkEmiLpC4NZUhtfSgEQ,https://www.instagram.com/repboebert/,,https://www.instagram.com/laurenboebert/,https://www.facebook.com/RepBoebert,https://www.facebook.com/boebertlauren,https://www.facebook.com/laurenboebert,,,,,"PO Box 752 Rifle, CO 81650",1609 Longworth House Office Building,,,202-225-4761,,,,,,,,,,,,,,456805,,320958,,,https://en.wikipedia.org/wiki/Lauren_Boebert,/g/11j2v06x6p,https://ballotpedia.org/Lauren_Boebert,https://api.propublica.org/congress/v1/members/B000825.json,1332,,,H0CO03165,,,ocd-division/country:us/state:co/cd:3,,
Marina Zimmerman,Marina,,Zimmerman,,,,,Independent,U.S. House Colorado District 3,U.S. Representative,CO,Challenger,Colorado Congressional District 3,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338122,,,,,https://ballotpedia.org/Marina_Zimmerman,,1332,,,,,,ocd-division/country:us/state:co/cd:3,,
Kristin Skowronski,Kristin,,Skowronski,,,,,Independent,U.S. House Colorado District 3,U.S. Representative,CO,Challenger,Colorado Congressional District 3,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341703,,,,,https://ballotpedia.org/Kristin_Skowronski,,1332,,,,,,ocd-division/country:us/state:co/cd:3,,
Adam Frisch,Adam,,Frisch,,,,"https://static.wixstatic.com/media/6f7f53_69edf225881e4f9ca1a9ba3032249808~mv2.jpg/v1/fill/w_490,h_654,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/CZFePARg_edited.jpg",Democratic Party,U.S. House Colorado District 3,U.S. Representative,CO,Challenger,Colorado Congressional District 3,,,Male,,,,,,,,info@adamforcolorado.com,,,https://www.adamforcolorado.com/,,,https://www.twitter.com/adamforcolorado,,,,,,https://www.instagram.com/adamforcolorado/,,,https://www.facebook.com/adamforcolorado,,,,,"PO Box 371 Woody Creek, CO 81656",,,,,,,,,,,,,,,,,,,,349276,,,,,https://ballotpedia.org/Adam_Frisch,,1332,,,,,,ocd-division/country:us/state:co/cd:3,,
Ken Buck,Ken,,Buck,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Ken_Buck_official_congressional_photo.jpg/440px-Ken_Buck_official_congressional_photo.jpg,Republican Party,U.S. House Colorado District 4,U.S. Representative,CO,Incumbent,Colorado Congressional District 4,,,Male,1959-02-16,,,,,,,info@buckforcolorado.com,https://buck.house.gov,,https://buckforcolorado.com/,https://www.twitter.com/RepKenBuck,,https://www.twitter.com/BuckForColorado,https://www.youtube.com/c/RepKenBuck/,,,https://www.instagram.com/repkenbuck/,,https://www.instagram.com/buckforco/,https://www.facebook.com/repkenbuck,,https://www.facebook.com/buckforcolorado,,,,https://buck.house.gov/rss.xml,"PO Box 338018 Greeley, CO 80633",2455 Rayburn House Office Building,,(970) 549-8808,202-225-4676,,,,,,,,,,,,,78285,412619,125319,31816,,21510,https://en.wikipedia.org/wiki/Ken_Buck,/m/05zzjd2,https://ballotpedia.org/Ken_Buck,https://api.propublica.org/congress/v1/members/B001297.json,6328,,,S0CO00237,,,ocd-division/country:us/state:co/cd:4,,
Isaac McCorkle,Isaac,,McCorkle,,,,,Democratic Party,U.S. House Colorado District 4,U.S. Representative,CO,Challenger,Colorado Congressional District 4,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314685,,,,,https://ballotpedia.org/Ian_McCorkle,,6328,,,,,,ocd-division/country:us/state:co/cd:4,,
