id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/59a5bbf7-c5c9-436a-bf9a-61d996816297,Adelaide C. Eckardt,Republican,37,upper,Adelaide,Eckardt,,adelaide.eckardt@senate.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/eckardt.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/eckardt,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=eckardt&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/eckardt,,,,,,,,,,,
ocd-person/4bf0680f-fd5c-48a1-b6d3-73672f71048a,Adrienne A. Jones,Democratic,10,lower,Adrienne,Jones,,adrienne.jones@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/jones.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/jones,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/jones,,,,,,,,,,,
ocd-person/0ddc9257-e4a4-4414-b21d-3467c8285806,Alonzo T. Washington,Democratic,22,lower,Alonzo,Washington,,alonzo.washington@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/washington a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/washington%20a,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/washington%20a,,,,,,,,,,,
ocd-person/7636786f-1db3-4094-8527-e339576314d6,Andrea Fletcher Harrison,Democratic,24,lower,Andrea,Harrison,,andreafletcher.harrison@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/harrison01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/harrison01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/harrison01,,,,,,,,,,,
ocd-person/7bcb723d-68c2-4826-acab-0437aa27471f,Anne Healey,Democratic,22,lower,Anne,Healey,,anne.healey@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/healey.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/healey,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/healey,,,,,,,,,,,
ocd-person/88aa2d42-9bca-4df7-b961-1516d5c1f73a,Anne R. Kaiser,Democratic,14,lower,Anne,Kaiser,,anne.kaiser@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/kaiser.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/kaiser,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/kaiser,,,,,,,,,,,
ocd-person/2b26dc52-cb0c-4750-af6b-9c00e12eef29,Antonio Hayes,Democratic,40,upper,Antonio,Hayes,,antonio.hayes@senate.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/hayes02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hayes02&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/hayes02,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=hayes02&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/hayes02,,,,,,,,,,,
ocd-person/76812cdb-3d6d-458a-b864-feb72f363a8e,April Rose,Republican,5,lower,April,Rose,,April.Rose@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/rose01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rose01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/rose01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=rose01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/rose01,,,,,,,,,,,
ocd-person/67bca7ea-f624-4343-aa47-675140e4251a,Ariana B. Kelly,Democratic,16,lower,Ariana,Kelly,,ariana.kelly@house.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/kelly a.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelly%20a&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/kelly%20a,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kelly%20a&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/kelly%20a,,,,,,,,,,,
ocd-person/ad59d051-2efb-495f-b032-524d21a95e50,Arthur Ellis,Democratic,28,upper,Arthur,Ellis,,arthur.ellis@senate.state.md.us,,,,http://mgaleg.maryland.gov/2022RS/images/ellis01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ellis01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/ellis01,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=ellis01&stab=01;http://mgaleg.maryland.gov/mgawebsite/Members/Details/ellis01,,,,,,,,,,,
