id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/08a4ab21-c0f2-4ae5-ae36-70062cbc5c4e,Aileen M. Gunther,Democratic,100,lower,Aileen,Gunther,,GuntheA@nyassembly.gov,,,,https://assembly.state.ny.us/write/upload/member_files/100/headshot/100.jpg,http://assembly.state.ny.us/mem/?sh=email;https://assembly.state.ny.us/mem/Aileen-M-Gunther,http://assembly.state.ny.us/mem/Aileen-M-Gunther;https://assembly.state.ny.us/mem/Aileen-M-Gunther,,,,"18 Anawana Lake Road; Monticello, NY 12701",845-794-5807,,AileenMGunther,,,291645097649558?ref=hl,
ocd-person/dff234fa-8563-4028-982e-c0a221d99fd9,Al Stirpe,Democratic,127,lower,Al,Stirpe,,StirpeA@nyassembly.gov,,,,https://assembly.state.ny.us/write/upload/member_files/127/headshot/127.jpg,http://assembly.state.ny.us/mem/?sh=email;https://assembly.state.ny.us/mem/Al-Stirpe,http://assembly.state.ny.us/mem/Al-Stirpe;https://assembly.state.ny.us/mem/Al-Stirpe,,,,"7293 Buckley Road; Suite 201; N. Syracuse, NY 13212",315-452-1115,,StirpeAl,,,AssemblymanAlStirpe,
ocd-person/c197076b-7dde-4f90-b04f-352053fbab94,Al Taylor,Democratic,71,lower,Al,Taylor,,taylora@nyassembly.gov,,,,https://assembly.state.ny.us/write/upload/member_files/071/headshot/071.jpg,http://assembly.state.ny.us/mem/?sh=email;https://assembly.state.ny.us/mem/Al-Taylor,http://assembly.state.ny.us/mem/Al-Taylor;https://assembly.state.ny.us/mem/Al-Taylor,,,,"2541-55 Adam Clayton; Powell Jr. Blvd.; New York, NY 10039",212-234-1430,,assemblymanalt1,,,,
ocd-person/9cadef31-a5ba-4766-a928-d4dfedcdb031,Alessandra Biaggi,Democratic,34,upper,Alessandra,Biaggi,,biaggi@nysenate.gov,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/01-09-19_biaggi-hs_0003.jpg?itok=HXfqARF3,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/alessandra-biaggi/contact,http://www.nysenate.gov/senators/alessandra-biaggi/contact,,,,"3190 Riverdale Ave.,;Bronx,, NY 10463",718-822-2049,,SenatorBiaggi,,,,
ocd-person/9dd382bd-0f4f-4a99-ad58-679e26114f70,Alexis Weik,Republican,3,upper,Alexis,Weik,,weik@nysenate.gov,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/alexis_weik_hs.jpg?itok=F8H4DVNB,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/alexis-weik/contact,http://www.nysenate.gov/senators/alexis-weik/contact,,,,"90-B West Main St.,;Patchogue,, NY 11772",631-360-3356,,,,,,
ocd-person/2196fbda-e731-4e6b-a221-7bf5e25b8b95,Alicia Hyndman,Democratic,29,lower,Alicia,Hyndman,,hyndmana@nyassembly.gov,,,,https://assembly.state.ny.us/write/upload/member_files/029/headshot/029.jpg,http://assembly.state.ny.us/mem/?sh=email;https://assembly.state.ny.us/mem/Alicia-Hyndman,http://assembly.state.ny.us/mem/Alicia-Hyndman;https://assembly.state.ny.us/mem/Alicia-Hyndman,,,,"232-06A Merrick Blvd.; Springfield Gardens, NY 11413",718-723-5412,,AliciaHyndman,,,,
ocd-person/3647609d-4772-4afe-a2c0-1f628a6c11ec,Amanda Septimo,Democratic,84,lower,Amanda,Septimo,,septimoa@nyassembly.gov,,,,https://assembly.state.ny.us/write/upload/member_files/084/headshot/084.jpg,https://assembly.state.ny.us/mem/Amanda-Septimo,https://assembly.state.ny.us/mem/Amanda-Septimo,,,,"384 E 149th St., Suite 202; Bronx, NY 10455",718-292-2901,,,,,,
ocd-person/f0f08f55-cf1f-477c-a5f8-a7f2382e5fa8,Amy Paulin,Democratic,88,lower,Amy,Paulin,,PaulinA@nyassembly.gov,,,,https://assembly.state.ny.us/write/upload/member_files/088/headshot/088.jpg,http://assembly.state.ny.us/mem/?sh=email;https://assembly.state.ny.us/mem/Amy-Paulin,http://assembly.state.ny.us/mem/Amy-Paulin;https://assembly.state.ny.us/mem/Amy-Paulin,,,,"700 White Plains Rd.; Suite 252; Scarsdale, NY 10583",914-723-1115,,amypaulin,,,assemblywomanpaulin,
ocd-person/5f3e7bcf-9e43-423b-946b-982cc6ecc154,Andrea Stewart-Cousins,Democratic,35,upper,Andrea,Stewart-Cousins,,scousins@nysenate.gov,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/asc_headshot.jpg?itok=RHphZkr2,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/andrea-stewart-cousins/contact,http://www.nysenate.gov/senators/andrea-stewart-cousins/contact,,,,"28 Wells Avenue, Building #3;Yonkers,, NY 10701",914-423-4031,914-423-0979,AndreaSCousins,,,,
ocd-person/ae1f415b-958c-4a4c-805b-626e6eca5fe3,Andrew Gounardes,Democratic,22,upper,Andrew,Gounardes,,gounardes@nysenate.gov,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/ag_headshot1.jpeg?itok=A9BZVK33,http://www.nysenate.gov/senators-committees;http://www.nysenate.gov/senators/andrew-gounardes/contact,http://www.nysenate.gov/senators/andrew-gounardes/contact,,,,"8018 5th Avenue;Brooklyn,, NY 11209",718-238-6044,518-426-6782,agounardes,,,,
