id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/fd14f876-4b18-4101-8ad4-d45d8586683a,Adam C. Gray,Democratic,21,lower,Adam,Gray,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/gray.png,https://a21.asmdc.org;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD21&inframe=N,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"1010 Tenth Street, Suite 5800, Modesto, CA 95354",209-521-2111,,,,,,
ocd-person/19c64d24-6578-4a4c-bf71-3f3ea51ce505,Adrin Nazarian,Democratic,46,lower,Adrin,Nazarian,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/AD46-Nazarian.jpg,https://a46.asmdc.org/;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD46&inframe=N,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"6150 Van Nuys Boulevard, Suite 300, Van Nuys, CA 91401",818-376-4246,,,,,,
ocd-person/6c2a35d5-c04c-44d0-8bd9-92a625e2b525,"Akilah Weber, M.D.",Democratic,79,lower,Akilah,Weber,,na,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad79-weber.jpg,https://a79.asmdc.org/,https://a79.asmdc.org/;https://www.assembly.ca.gov/assemblymembers,,,,"1350 Front Street, Suite 6046, San Diego, CA 92101",619-531-7913,,,,,,
ocd-person/78610d0e-c790-4fc9-ab8e-0887adbbe063,Al Muratsuchi,Democratic,66,lower,Al,Muratsuchi,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad66.jpg,https://a66.asmdc.org/;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD66&inframe=N,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"3424 West Carson Street, Suite 450, Torrance, CA 90503",310-375-0691,,,,,,
ocd-person/5d0057a2-e04d-44ca-b1d5-fc55e113351a,Alex Lee,Democratic,25,lower,Alex,Lee,,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/lee-025.jpg,https://a25.asmdc.org/;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD25&inframe=N,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"1313 North Milpitas Boulevard, Suite 255, Milpitas, CA 95035",408-262-2501,,,,,,
ocd-person/50ff89eb-0e1c-4ca4-90e5-e21c51cb7d94,Andreas Borgeas,Republican,8,upper,Andreas,Borgeas,Male,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/official_portrait_cropped_borgeas_4623_llsed1_2.jpg,https://senate.ca.gov/sd08;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD08&inframe=N,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"460 Sutter Hill Road, Suite C, Sutter Creek, CA 95685",209-267-5033,,,,,,
ocd-person/fe462917-df55-4a43-9fd8-970541544ca6,Anna M. Caballero,Democratic,12,upper,Anna,Caballero,Female,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/2016-ad30_annacaballero.jpg,https://senate.ca.gov/sd12;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD12&inframe=N,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"132 W. Gabilan Street, Suite 101, Salinas, CA 93901",831-769-8040,,,,,,
ocd-person/84f0dbbd-99dd-4ef2-9772-eb06047d847b,Anthony J. Portantino,Democratic,25,upper,Anthony,Portantino,Male,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/portantino_0331_lscr.jpg,https://senate.ca.gov/sd25;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD25&inframe=N,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"201 E. Bonita Avenue, San Dimas, CA 91773",909-599-7351,,,,,,
ocd-person/27c957dd-86a1-4bbe-9007-f4ebf931a795,Anthony Rendon,Democratic,63,lower,Anthony,Rendon,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad63-rendon_0.jpg,https://speaker.asmdc.org/;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD63&inframe=N,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"4909 Lakewood Boulevard, Suite 400, Lakewood, CA 90712",562-529-3250,,,,,,
ocd-person/820619fd-d053-4915-b099-1d134a880228,Ash Kalra,Democratic,27,lower,Ash,Kalra,Male,,,,,https://www.assembly.ca.gov/sites/assembly.ca.gov/files/memberphotos/ad27_karla_roster150_20161205.jpg,https://a27.asmdc.org/;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD27&inframe=N,http://assembly.ca.gov/assemblymembers;https://www.assembly.ca.gov/assemblymembers,,,,"100 Paseo De San Antonio, Suite 319, San Jose, CA 95113",408-277-1220,,,,,,
ocd-person/041e3c31-f9c0-4add-ae2e-f5c0a281fc27,Ben Hueso,Democratic,40,upper,Ben,Hueso,Male,,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/hueso-ben.jpg,https://senate.ca.gov/sd40;https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=SD40&inframe=N,http://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"1224 State Street, Suite D, El Centro, CA 92243",760-335-3442,,,,,,
