id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,Alma Hernandez,Democratic,3,lower,Alma,Hernandez,,ahernandez@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/HERNANDEZ_A.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1893;https://www.linkedin.com/in/alma-hernandez-48139a188/;https://www.youtube.com/channel/UCbBfWrdnhNiGe0NPq2j-3NQ/featured;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2033;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2033,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,almaforarizona,,repahernandez,AlmaforAZ,
ocd-person/6143aa75-8c8e-4e34-9c6c-810169a81333,Amish Shah,Democratic,24,lower,Amish,Shah,,ashah@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/SHAH.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1908;https://www.linkedin.com/in/amish-shah-2b73a4a9/;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2048;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2048,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,DrAmishShah,,,amishforarizona,
ocd-person/cfdc1ced-f218-4381-b6ec-347bc963fd5d,Andrea Dalessandro,Democratic,2,lower,Andrea,Dalessandro,,adalessandro@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/DALESSANDRO.jpg,https://www.azleg.gov/house-member/?legislature=55&legislator=2061;https://www.linkedin.com/in/andrea-dalessandro-0676606/;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2061;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2061,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,andreaforAZ,,,DalessandroforAZ,
ocd-person/bf8c0b1e-77ff-49b8-8837-a82bfec24654,Andrés Cano,Democratic,3,lower,Andres,Cano,,acano@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/CANO.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1892;https://www.linkedin.com/in/andrescanoaz/;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2032;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2032,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,AndresCanoAZ,,andrescanoaz,AndresforArizona,
ocd-person/226f30cc-1c58-49e3-bbf3-5f3713d988a5,Athena Salman,Democratic,26,lower,Athena,Salman,,asalman@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/SALMAN.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1885;https://www.linkedin.com/in/athenasalman/;https://www.youtube.com/channel/UCrgREiif7uX6APBbo_vA8bQ;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2026;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2026,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,athenasalman,,athenasalman,SalmanforAZ,
ocd-person/6d71c8d3-c677-4f4b-96eb-411fbc464c2c,Ben Toma,Republican,22,lower,Ben,Toma,,btoma@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/TOMA.jpg,https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1888;https://www.linkedin.com/in/ben-toma-1b840a12/;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2029;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2029,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,RepBenToma,,,ben.toma.37,
ocd-person/77be0e97-4c93-4332-a9f9-9348560fdf98,Beverly Pingerelli,Republican,21,lower,Beverly,Pingerelli,,bpingerelli@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/PINGERELLI.jpg,https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2071;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2071,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/df90b258-b808-46bc-bd70-0cc63a0bb619,Brenda Barton,Republican,6,lower,Brenda,Barton,,bbarton@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/BARTON.jpg,https://www.azleg.gov/House/House-member/?legislature=53&session=119&legislator=1714;https://www.azleg.gov/house-member/?legislature=55&legislator=2059;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2059;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2059,http://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/5425612b-fb2c-4857-8f75-31523345eb2b,Brian Fernandez,Democratic,4,lower,Brian,Fernandez,,bfernandez@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/FERNANDEZ_B.jpg,https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2101,https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
ocd-person/eb25f84b-434c-440f-8e32-30b870185ef7,Christian Solorio,Democratic,30,lower,Christian,Solorio,,csolorio@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/SOLORIO.jpg,https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2097,https://www.azleg.gov/memberroster/?body=H,,,,,,,,,,,
