name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
James Comer Jr.,James,R.,Comer,,,Jr.,,Republican Party,U.S. House Kentucky District 1,U.S. Representative,KY,Incumbent,Kentucky Congressional District 1,,,Male,1972-08-19,,,,,,,,https://comer.house.gov,,,https://www.twitter.com/RepJamesComer,,,,,,,,,https://www.facebook.com/congressmancomer,,,,,,,P.O. Box 338 Tompkinsville KY 42167,2410 Rayburn House Office Building,,,202-225-3115,,,,,,,,,,,,,76619,412676,35169,22719,,21565,https://en.wikipedia.org/wiki/James_Comer_(politician),/m/0j65cf0,https://ballotpedia.org/James_Comer_Jr.,https://api.propublica.org/congress/v1/members/C001108.json,9528,,,H6KY01110,,,ocd-division/country:us/state:ky/cd:1,,
Jimmy Ausbrooks,Jimmy,C.,Ausbrooks,,,,,Democratic Party,U.S. House Kentucky District 1,U.S. Representative,KY,Challenger,Kentucky Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 264 Franklin KY 42135,,,,,,,,,,,,,,,,,,,,314440,,,,,https://ballotpedia.org/Jimmy_Ausbrooks,,9528,,,,,,ocd-division/country:us/state:ky/cd:1,,
Brett Guthrie,Brett,,Guthrie,,,,,Republican Party,U.S. House Kentucky District 2,U.S. Representative,KY,Incumbent,Kentucky Congressional District 2,,,Male,1964-02-18,,,,,,,,https://guthrie.house.gov,,,https://www.twitter.com/RepGuthrie,,,https://www.youtube.com/c/BrettGuthrie,,,,,,https://www.facebook.com/CongressmanGuthrie,,,,,,,,2434 Rayburn House Office Building,,,202-225-3501,,,,,,,,,,,,,1031343,412278,18829,5799,,20916,,/m/0411qqt,https://ballotpedia.org/Brett_Guthrie,https://api.propublica.org/congress/v1/members/G000558.json,8476,,,H8KY02031,,,ocd-division/country:us/state:ky/cd:2,,
Hank Linderman,Hank,,Linderman,,,,,Democratic Party,U.S. House Kentucky District 2,U.S. Representative,KY,Challenger,Kentucky Congressional District 2,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293963,,,,,https://ballotpedia.org/Hank_Linderman,,8476,,,,,,ocd-division/country:us/state:ky/cd:2,,
Morgan McGarvey,Morgan,,McGarvey,,,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate119.jpg,Democratic Party,U.S. House Kentucky District 3,U.S. Representative,KY,Challenger,Kentucky Congressional District 3,,,Male,,,,,,Morgan.McGarvey@lrc.ky.gov,,,,,,,,https://www.twitter.com/MorganMcGarvey,,,,,,,,,,,,,,,,"702 Capital Ave Annex Room 254 Frankfort, KY 40601",,,502-589-2780,,,,,,,,,,,,,,,41399,,,https://en.wikipedia.org/wiki/Morgan_McGarvey,,https://ballotpedia.org/Morgan_McGarvey,,3700,,,,,,ocd-division/country:us/state:ky/cd:3,ocd-person/9983a801-0a07-4d17-bca0-afb9576ebe69,
Stuart Ray,Stuart,N.,Ray,,,,,Republican Party,U.S. House Kentucky District 3,U.S. Representative,KY,Challenger,Kentucky Congressional District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342310,,,,,https://ballotpedia.org/Stuart_Ray,,3700,,,,,,ocd-division/country:us/state:ky/cd:3,,
Thomas Massie,Thomas,,Massie,,,,,Republican Party,U.S. House Kentucky District 4,U.S. Representative,KY,Incumbent,Kentucky Congressional District 4,,,Male,1971-01-13,,,,,,,,https://massie.house.gov,,,https://www.twitter.com/RepThomasMassie,,,https://www.youtube.com/c/repthomasmassie,,,,,,https://www.facebook.com/RepThomasMassie,,,,,,,,2453 Rayburn House Office Building,,,202-225-3465,,,,,,,,,,,,,79951,412503,132068,54785,,31102,https://en.wikipedia.org/wiki/Thomas_Massie,/m/0h_cb6v,https://ballotpedia.org/Thomas_Massie,https://api.propublica.org/congress/v1/members/M001184.json,7927,,,H2KY04121,,,ocd-division/country:us/state:ky/cd:4,,
Matthew Lehman,Matthew,,Lehman,,,,,Democratic Party,U.S. House Kentucky District 4,U.S. Representative,KY,Challenger,Kentucky Congressional District 4,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 72441 Newport KY 41072,,,,,,,,,,,,,,,,,,,,343751,,,,,https://ballotpedia.org/Matthew_Lehman_(Kentucky),,7927,,,,,,ocd-division/country:us/state:ky/cd:4,,
Ethan Osborne,Ethan,Keith,Osborne,,,,,Independent,U.S. House Kentucky District 4,U.S. Representative,KY,Challenger,Kentucky Congressional District 4,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353415,,,,,https://ballotpedia.org/Ethan_Osborne,,7927,,,,,,ocd-division/country:us/state:ky/cd:4,,
Hal Rogers,Hal,,Rogers,,,,,Republican Party,U.S. House Kentucky District 5,U.S. Representative,KY,Incumbent,Kentucky Congressional District 5,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20781,,,,,https://ballotpedia.org/Hal_Rogers,,3578,,,,,,ocd-division/country:us/state:ky/cd:5,,
