name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Bridget M. Fleming,Bridget,M.,Fleming,,,,,"Democratic Party, Working Families Party",U.S. House New York District 1,U.S. Representative,NY,Challenger,New York Congressional District 1,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6254,,,,,https://ballotpedia.org/Bridget_M._Fleming,,14837,,,,,,ocd-division/country:us/state:ny/cd:1,,
Nicholas J. LaLota,Nicholas,J.,LaLota,,,,,"Republican Party, Conservative Party",U.S. House New York District 1,U.S. Representative,NY,Challenger,New York Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320686,,,,,https://ballotpedia.org/Nicholas_J._LaLota,,14837,,,,,,ocd-division/country:us/state:ny/cd:1,,
Mondaire Jones,Mondaire,,Jones,,,,,Working Families Party,U.S. House New York District 10,U.S. Representative,NY,Incumbent,New York Congressional District 10,,,Male,1987-05-18,,,,,,,,https://jones.house.gov,,,https://www.twitter.com/RepJones,,,,,,,,,,,,,,,,,1017 Longworth House Office Building,,,202-225-6506,,,,,,,,,,,,,,456840,,314817,,,,/g/11fsfpp4wj,https://ballotpedia.org/Mondaire_Jones,https://api.propublica.org/congress/v1/members/J000306.json,14060,,,H0NY17174,,,ocd-division/country:us/state:ny/cd:10,,
Benine Hamdan,Benine,,Hamdan,,,,,"Republican Party, Conservative Party",U.S. House New York District 10,U.S. Representative,NY,Challenger,New York Congressional District 10,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338913,,,,,https://ballotpedia.org/Benine_Hamdan,,14060,,,,,,ocd-division/country:us/state:ny/cd:10,,
Daniel Goldman,Daniel,,Goldman,,,,,Democratic Party,U.S. House New York District 10,U.S. Representative,NY,Challenger,New York Congressional District 10,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342205,,,,,https://ballotpedia.org/Daniel_Goldman,,14060,,,,,,ocd-division/country:us/state:ny/cd:10,,
Matthew Goldstein,Matthew,,Goldstein,,,,,Independent,U.S. House New York District 10,U.S. Representative,NY,Challenger,New York Congressional District 10,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369123,,,,,https://ballotpedia.org/Matthew_Goldstein,,14060,,,,,,ocd-division/country:us/state:ny/cd:10,,
Nicole Malliotakis,Nicole,,Malliotakis,,,,,"Republican Party, Conservative Party",U.S. House New York District 11,U.S. Representative,NY,Incumbent,New York Congressional District 11,,,Female,1980-11-11,,,,,,,,https://malliotakis.house.gov,,,https://www.twitter.com/RepMalliotakis,,,,,,,,,,,,,,,,,417 Cannon House Office Building,,,202-225-3371,,,,,,,,,,,,,,456837,,42205,,,,/m/0g5817m,https://ballotpedia.org/Nicole_Malliotakis,https://api.propublica.org/congress/v1/members/M000317.json,11669,,,H0NY11078,,,ocd-division/country:us/state:ny/cd:11,,
Max Rose,Max,,Rose,,,,,Democratic Party,U.S. House New York District 11,U.S. Representative,NY,Challenger,New York Congressional District 11,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289119,,,,,https://ballotpedia.org/Max_Rose,,11669,,,,,,ocd-division/country:us/state:ny/cd:11,,
Brittany Ramos DeBarros,Brittany,Ramos,DeBarros,,,,,Working Families Party,U.S. House New York District 11,U.S. Representative,NY,Challenger,New York Congressional District 11,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337269,,,,,https://ballotpedia.org/Brittany_Ramos_DeBarros,,11669,,,,,,ocd-division/country:us/state:ny/cd:11,,
Jerrold Nadler,Jerrold,,Nadler,,,,,"Democratic Party, Working Families Party",U.S. House New York District 12,U.S. Representative,NY,Incumbent,New York Congressional District 12,,,Male,1947-06-13,,,,,,,,https://nadler.house.gov,,,https://www.twitter.com/RepJerryNadler,,,https://www.youtube.com/c/congressmannadler,,,,,,https://www.facebook.com/CongressmanNadler,,,,,,,,2132 Rayburn House Office Building,,,202-225-5635,,,,,,,,,,,,,26159,400289,26980,25327,,29377,,/m/03tk11,https://ballotpedia.org/Jerrold_Nadler,https://api.propublica.org/congress/v1/members/N000002.json,15852,,,H2NY17071,,,ocd-division/country:us/state:ny/cd:12,,
Mike Zumbluskas,Mike,,Zumbluskas,,,,,"Republican Party, Conservative Party",U.S. House New York District 12,U.S. Representative,NY,Challenger,New York Congressional District 12,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41076,,,,,https://ballotpedia.org/Mike_Zumbluskas,,15852,,,,,,ocd-division/country:us/state:ny/cd:12,,
Mikhail Itkis,Mikhail,,Itkis,,,,,Independent,U.S. House New York District 12,U.S. Representative,NY,Challenger,New York Congressional District 12,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369773,,,,,https://ballotpedia.org/Mikhail_Itkis,,15852,,,,,,ocd-division/country:us/state:ny/cd:12,,
Gil Obler,Gil,,Obler,,,,,Green Party,U.S. House New York District 12,U.S. Representative,NY,Challenger,New York Congressional District 12,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370789,,,,,https://ballotpedia.org/Gil_Obler,,15852,,,,,,ocd-division/country:us/state:ny/cd:12,,
Adriano Espaillat,Adriano,,Espaillat,,,,,Democratic Party,U.S. House New York District 13,U.S. Representative,NY,Incumbent,New York Congressional District 13,,,Male,1954-09-27,,,,,,,,https://espaillat.house.gov,,,https://www.twitter.com/RepEspaillat,,,,,,,,,https://www.facebook.com/RepEspaillat,,,,,,,,2332 Rayburn House Office Building,,,202-225-4365,,,,,,,,,,,,,68413,412718,14379,420,,21715,,/m/06nfs2,https://ballotpedia.org/Adriano_Espaillat,https://api.propublica.org/congress/v1/members/E000297.json,10228,,,H2NY13096,,,ocd-division/country:us/state:ny/cd:13,,
Nicholas Mantanona,Nicholas,,Mantanona,,,,,Independent,U.S. House New York District 13,U.S. Representative,NY,Challenger,New York Congressional District 13,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291448,,,,,https://ballotpedia.org/Nicholas_Mantanona,,10228,,,,,,ocd-division/country:us/state:ny/cd:13,,
Tyrrell Lev Sharif Ben-Avi,Tyrrell,Lev Sharif,Ben-Avi,,,,,Independent,U.S. House New York District 13,U.S. Representative,NY,Challenger,New York Congressional District 13,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343420,,,,,https://ballotpedia.org/Tyrrell_Lev_Sharif_Ben-Avi,,10228,,,,,,ocd-division/country:us/state:ny/cd:13,,
