name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Steve Chabot,Steve,,Chabot,,,,https://chabot.house.gov/uploadedphotos/highresolution/317a8157-9146-41b9-9867-5b8f726c59ff.jpg,Republican Party,U.S. House Ohio District 1,U.S. Representative,OH,Incumbent,Ohio Congressional District 1,,,Male,,,,,,,,ChabotCups@ChabotforCongress.com,,,https://stevechabot.com/,https://www.twitter.com/repstevechabot,,https://www.twitter.com/SteveChabot,https://www.youtube.com/user/congressmanchabot,,https://www.youtube.com/user/ChabotforCongress,https://www.instagram.com/repstevechabot/,,https://www.instagram.com/chabotforcongress/,https://www.facebook.com/RepSteveChabot,,https://www.facebook.com/ChabotForCongress,,,,,"P.O. Box 54461, Cincinnati, OH 45254",,,(513) 662-8000,,,,,,,,,,,,,,,,,52453,,,https://en.wikipedia.org/wiki/Steve_Chabot,,https://ballotpedia.org/Steve_Chabot,,2720,,,,,,ocd-division/country:us/state:oh/cd:1,,
Greg Landsman,Greg,,Landsman,,,,https://landsmanforcongress.com/wp-content/uploads/2022/01/bg2.jpg,Democratic Party,U.S. House Ohio District 1,U.S. Representative,OH,Challenger,Ohio Congressional District 1,,,Male,,,,,,,,info@landsmanforcongress.com,,,https://landsmanforcongress.com/,,https://www.twitter.com/GregLandsman,https://www.twitter.com/votelandsman,,,,,https://www.instagram.com/greglandsman/,https://www.instagram.com/votegreglandsman/,,https://www.facebook.com/glandsman,https://www.facebook.com/VoteGregLandsman,,,,,"PO Box 413, Cincinnati, OH 45201",,,,,,,,,,,,,,,,,,,,289889,,,,,https://ballotpedia.org/Greg_Landsman,,2720,,,,,,ocd-division/country:us/state:oh/cd:1,,
David Esrati,David,,Esrati,,,,https://electesrati.com/wp-content/uploads/2018/03/David-500-350x350.jpg,Democratic Party,U.S. House Ohio District 10,U.S. Representative,OH,Challenger,Ohio Congressional District 10,,,Male,,,,,,,,david@electesrati.com,,,https://electesrati.com/,,,https://www.twitter.com/esrati,,,https://www.youtube.com/c/electesrati,,,,,https://www.facebook.com/david.esrati,https://www.facebook.com/ElectEsrati,,,,,"100 Bonner St Dayton, OH 45410",,,(937) 985-1312,,,,,,,,,,,,,,,,,12534,,,,,https://ballotpedia.org/David_Esrati,,1917,,,,,,ocd-division/country:us/state:oh/cd:10,,
Michael Turner,Michael,R.,Turner,,,,,Republican Party,U.S. House Ohio District 10,U.S. Representative,OH,Incumbent,Ohio Congressional District 10,,,Male,1960-01-11,,,,,,,,https://turner.house.gov,,,https://www.twitter.com/RepMikeTurner,,,https://www.youtube.com/c/CongressmanTurner,,,,,,https://www.facebook.com/RepMikeTurner,,,,,,https://turner.house.gov/rss.xml,,2082 Rayburn House Office Building,,,202-225-6465,,,,,,,,,,,,,1003607,400411,45519,40102,,20342,,/m/03440l,https://ballotpedia.org/Michael_Turner_(Ohio),https://api.propublica.org/congress/v1/members/T000463.json,1917,,,H2OH03067,,,ocd-division/country:us/state:oh/cd:10,,
Eric Brewer,Eric,J.,Brewer,,,,,Republican Party,U.S. House Ohio District 11,U.S. Representative,OH,Challenger,Ohio Congressional District 11,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288188,,,,,https://ballotpedia.org/Eric_Brewer,,7884,,,,,,ocd-division/country:us/state:oh/cd:11,,
Shontel Brown,Shontel,,Brown,,,,https://shontelbrown.com/wp-content/uploads/2022/03/RCSB-Headshot-886x1024.jpg,Democratic Party,U.S. House Ohio District 11,U.S. Representative,OH,Incumbent,Ohio Congressional District 11,,,Female,1975-06-24,,,,,,,shontel@shontelbrown.com,https://shontelbrown.house.gov,,https://shontelbrown.com/,https://www.twitter.com/RepShontelBrown,https://www.twitter.com/Shontel_Brown,https://www.twitter.com/ShontelMBrown,,,,https://www.instagram.com/repshontel/,,https://www.instagram.com/shontelbrown/,https://www.facebook.com/RepShontelBrown/,https://www.facebook.com/shontel.m.brown,https://www.facebook.com/shontelbrownvote,,,,,"13226 SHAKER SQUARE CLEVELAND, OHIO 44120",,,(216) 965-0000,,,,,,,,,,,,,,,456863,,291187,,,https://en.wikipedia.org/wiki/Shontel_Brown,,https://ballotpedia.org/Shontel_Brown,https://api.propublica.org/congress/v1/members/B001313.json,7884,,,,,,ocd-division/country:us/state:oh/cd:11,,
Troy Balderson,Troy,,Balderson,,,,https://www.baldersonforcongress.com/site/wp-content/uploads/2018/03/687B6501.jpg,Republican Party,U.S. House Ohio District 12,U.S. Representative,OH,Incumbent,Ohio Congressional District 12,,,Male,1962-01-16,,,,,,,info@baldersonforcongress.com,https://balderson.house.gov,,https://baldersonforcongress.com/,https://www.twitter.com/RepBalderson,,https://www.twitter.com/Troy_Balderson,,,https://www.youtube.com/channel/UCz8loghL2DEIRabyWznRQFg,,,https://www.instagram.com/troy_balderson/,https://www.facebook.com/RepTroyBalderson/,,https://www.facebook.com/baldersonforcongress,,,,,"2931 E. Dublin Granville Road, Suite 190, Columbus, OH 43231",2429 Rayburn House Office Building,,,202-225-5355,,,,,,,,,,,,,,412747,102781,56692,,,https://en.wikipedia.org/wiki/Troy_Balderson,/m/09ry4tm,https://ballotpedia.org/Troy_Balderson,https://api.propublica.org/congress/v1/members/B001306.json,2554,,,H8OH12180,,,ocd-division/country:us/state:oh/cd:12,,
Amy Rippel-Elton,Amy,,Rippel-Elton,,,,,Democratic Party,U.S. House Ohio District 12,U.S. Representative,OH,Challenger,Ohio Congressional District 12,,,Female,,,,,,,,,,,,,,,,,,,,,,https://www.facebook.com/amy.rippel.5,,,,,,,,,,,,,,,,,,,,,,,,,,350068,,,,,https://ballotpedia.org/Amy_Rippel-Elton,,2554,,,,,,ocd-division/country:us/state:oh/cd:12,,
Emilia Sykes,Emilia,Strong,Sykes,,,,"https://static.wixstatic.com/media/b1cc02_8cf9a41813eb484e83df25361d22ef2c~mv2.jpg/v1/fill/w_1440,h_760,fp_0.27_0.50,q_85,usm_0.66_1.00_0.01,enc_auto/ESS_homepage-5.jpg",Democratic Party,U.S. House Ohio District 13,U.S. Representative,OH,Challenger,Ohio Congressional District 13,,,Female,,,,,"Born and raised in Akron, House Democratic Leader Emilia Strong Sykes was elected to represent her hometown (OH-34) in November 2014. With a strong sense of responsibility for the well-being of those that she serves, Sykes has tackled the challenges of her district with unmatched passion and dedication. Sykes serves as Democratic leader of the House minority caucus, a position to which she was elected by her colleagues.",rep34@ohiohouse.gov,,,,,,,,https://www.twitter.com/EmiliaSykesOH,,,,,,https://www.instagram.com/emilia_sykes/,,https://www.facebook.com/em.sykes.5,https://www.facebook.com/EmiliaSykes,,,,,"PO Box 1347 Akron, OH 44309",,,,,,,,,,,,,,,,,,,,17058,,,https://en.wikipedia.org/wiki/Emilia_Sykes,,https://ballotpedia.org/Emilia_Sykes,,25562,,,,,,ocd-division/country:us/state:oh/cd:13,ocd-person/a05eea59-cb85-439c-bff9-799e7d4e5fff,
Madison Gesiotto Gilbert,Madison,Gesiotto,Gilbert,,,,https://images.squarespace-cdn.com/content/v1/619812b072488b502bbca09f/716853df-7522-4eab-aee7-b82a623f48e9/188465155_321438752678305_1163591152591159237_n.jpeg?format=1500w,Republican Party,U.S. House Ohio District 13,U.S. Representative,OH,Challenger,Ohio Congressional District 13,,,Female,,,,,,,,contact@madisongesiotto.com,,,https://www.madisongesiottogilbert.com/,,,https://www.twitter.com/madisongesiotto,,,https://www.youtube.com/channel/UCTjO6vLlWVenRCfqHA-u3TA,,,https://www.instagram.com/realmadisongesiotto/,,,https://www.facebook.com/madisonmgesiotto,,,,,,,,,,,,,,,,,,,,,,,,,342354,,,https://en.wikipedia.org/wiki/Madison_Gesiotto,,https://ballotpedia.org/Madison_Gesiotto_Gilbert,,25562,,,,,,ocd-division/country:us/state:oh/cd:13,,
