name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Richard Neal,Richard,E.,Neal,,,,https://images.squarespace-cdn.com/content/v1/5adfeca775f9ee833929da41/1584105918945-4YD4B6CIHQLOG7NSM3D1/43078631_10161598954940725_121186075669430272_o.jpg?format=1500w,Democratic Party,U.S. House Massachusetts District 1,U.S. Representative,MA,Incumbent,Massachusetts Congressional District 1,,,Male,1949-02-14,,,,,,,info@nealforcongress.com,https://neal.house.gov,,https://www.nealforcongress.com/,https://www.twitter.com/RepRichardNeal,,https://www.twitter.com/NealForCongress,https://www.youtube.com/user/RepRichardENeal,,,,,,https://www.facebook.com/reprichardneal,,https://www.facebook.com/NealforCongress,,,,https://neal.house.gov/rss.xml,"PO Box 718, Springfield, MA 01101-0718",372 Cannon House Office Building,,(413) 842-6363,202-225-5601,,,,,,,,,,,,,6103,400291,26895,46501,,15616,https://en.wikipedia.org/wiki/Richard_Neal,/m/028vm4,https://ballotpedia.org/Richard_Neal,https://api.propublica.org/congress/v1/members/N000015.json,2989,,,H8MA02041,,,ocd-division/country:us/state:ma/cd:1,,
Dean James Martilli,Dean,James,Martilli,,,,https://martilliforcongress.com/wp-content/uploads/2022/06/KDP-101-2-1-scaled.jpg,Republican Party,U.S. House Massachusetts District 1,U.S. Representative,MA,Challenger,Massachusetts Congressional District 1,,,Male,,,,,,,,Dean@MartilliforCongress.com,,,https://martilliforcongress.com/,,,https://www.twitter.com/MartilliforRep,,,,,,,,https://www.facebook.com/profile.php?id=100081956058740,https://www.facebook.com/MartilliforCongress,,,,,"PO Box 148, Agawam, MA. 01001",,,,,,,,,,,,,,,,,,,,369539,,,,,https://ballotpedia.org/Dean_James_Martilli,,2989,,,,,,ocd-division/country:us/state:ma/cd:1,,
Jim McGovern,Jim,,McGovern,,,,,Democratic Party,U.S. House Massachusetts District 2,U.S. Representative,MA,Incumbent,Massachusetts Congressional District 2,,,Male,1959-11-20,,,,,,,,https://mcgovern.house.gov,,,https://www.twitter.com/RepMcGovern,,,https://www.youtube.com/c/repjimmcgovern,,,,,,https://www.facebook.com/RepJimMcGovern,,,,,,,,370 Cannon House Office Building,,,202-225-6101,,,,,,,,,,,,,45976,400263,552,26120,,29729,,/m/028vn7,https://ballotpedia.org/Jim_McGovern_(Massachusetts),https://api.propublica.org/congress/v1/members/M000312.json,12534,,,H4MA03022,,,ocd-division/country:us/state:ma/cd:2,,
Jeffrey Sossa-Paquette,Jeffrey,A.,Sossa-Paquette,,,,https://jeffrey4congress.com/wp-content/uploads/2021/04/JSP-transparent-Headshot-2.png,Republican Party,U.S. House Massachusetts District 2,U.S. Representative,MA,Challenger,Massachusetts Congressional District 2,,,Male,,,,,,,,jeffrey@jeff4congress.com,,,https://jeffrey4congress.com/,,,https://www.twitter.com/Jeff4CongressMA,,,,,,https://www.instagram.com/jeffrey_sossa_paquette/,,https://www.facebook.com/jeffrey.paquette.7,https://www.facebook.com/Jeffrey4Congress/,,,,,,,,(508) 523-8484,,,,,,,,,,,,,,,,,290740,,,,,https://ballotpedia.org/Jeffrey_Sossa-Paquette,,12534,,,,,,ocd-division/country:us/state:ma/cd:2,,
Dean Tran,Dean,A.,Tran,,,,"https://static.wixstatic.com/media/4e8ba8_d48bc6426e6d40b6a60b675c23711dc4~mv2.jpg/v1/fill/w_1080,h_1080,al_c,q_85,enc_auto/TranWhiteBackground.jpg",Republican Party,U.S. House Massachusetts District 3,U.S. Representative,MA,Challenger,Massachusetts Congressional District 3,,,Male,,,,,,,,info@deantran.com,,,https://www.deantran.com/,,,https://www.twitter.com/DeanTranMA3,,,https://www.youtube.com/channel/UC23aJU-b0CZuqxmMzKkO_Xg,,https://www.instagram.com/tranforcongress/,https://www.instagram.com/tranforcongress/,,https://www.facebook.com/dean.a.tran,https://www.facebook.com/TranforCongress,,,,,"P.O. Box 824, Fitchburg, MA 01420",,,(978) 547-8726,,,,,,,,,,,,,,,,,13569,,,,,https://ballotpedia.org/Dean_Tran,,8922,,,,,,ocd-division/country:us/state:ma/cd:3,,
Lori Trahan,Lori,Loureiro,Trahan,,,,https://loritrahan.com/wp-content/uploads/2018/09/Lori-High-Res.jpg,Democratic Party,U.S. House Massachusetts District 3,U.S. Representative,MA,Incumbent,Massachusetts Congressional District 3,,,Female,1973-10-27,,,,,,,campaign@loritrahan.com,https://trahan.house.gov,,https://loritrahan.com/,https://www.twitter.com/RepLoriTrahan,,https://www.twitter.com/LoriTrahanMA,,,,,,https://www.instagram.com/loritrahanma/,,,https://www.facebook.com/LoriTrahanMA,,,,,"P.O. Box 1161, Lowell, MA 01853",2439 Rayburn House Office Building,,,202-225-3411,,,,,,,,,,,,,,412781,182310,290745,,,https://en.wikipedia.org/wiki/Lori_Trahan,/g/11gtcg496z,https://ballotpedia.org/Lori_Trahan,https://api.propublica.org/congress/v1/members/T000482.json,8922,,,H8MA03106,,,ocd-division/country:us/state:ma/cd:3,,
Jake Auchincloss,Jake,,Auchincloss,,,,https://images.squarespace-cdn.com/content/v1/5d8aa7d2239fd0080c6eac96/1594493735049-J6PB3BBWO7F4AK288PVX/289A8600.jpg?format=1500w,Democratic Party,U.S. House Massachusetts District 4,U.S. Representative,MA,Incumbent,Massachusetts Congressional District 4,,,Male,1988-01-29,,,,,,,info@jakeauchincloss.com,https://auchincloss.house.gov,,https://www.jakeforma.com/,https://www.twitter.com/JakeAuch,,https://www.twitter.com/JakeAuch,https://www.youtube.com/channel/UCwtpZq_XdeLn4dHTfyLEunQ,,https://www.youtube.com/channel/UCwtpZq_XdeLn4dHTfyLEunQ,https://www.instagram.com/jakeauchincloss/,,https://www.instagram.com/jakeauchincloss/,,,https://www.facebook.com/JakeAuchincloss,,,,,,1524 Longworth House Office Building,,,202-225-5931,,,,,,,,,,,,,,456825,,319896,,,https://en.wikipedia.org/wiki/Jake_Auchincloss,/g/11f0xw2_p4,https://ballotpedia.org/Jake_Auchincloss,https://api.propublica.org/congress/v1/members/A000148.json,13671,,,H0MA04192,,,ocd-division/country:us/state:ma/cd:4,,
David Cannata,David,,Cannata,,,,,Republican Party,U.S. House Massachusetts District 4,U.S. Representative,MA,Challenger,Massachusetts Congressional District 4,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375280,,,,,https://ballotpedia.org/David_Cannata,,13671,,,,,,ocd-division/country:us/state:ma/cd:4,,
Caroline Colarusso,Caroline,,Colarusso,,,,"https://static.wixstatic.com/media/dc09b1_acd5373a10f84ea0a0bf62126b731bb0~mv2.jpeg/v1/crop/x_0,y_220,w_1364,h_645/fill/w_1362,h_645,al_c,q_85,enc_auto/dc09b1_acd5373a10f84ea0a0bf62126b731bb0~mv2.jpeg",Republican Party,U.S. House Massachusetts District 5,U.S. Representative,MA,Challenger,Massachusetts Congressional District 5,,,Female,,,,,,,,,,,https://www.colarussoforcongress.com/,,,https://www.twitter.com/CarolineforMA5,,,https://www.youtube.com/channel/UCc8evojjv46KP_9eNWl44Lg,,,,,https://www.facebook.com/C.ColarussoMA,https://www.facebook.com/CarolineColarussoforMA,,,,,"4 Patrick Cir, Stoneham, MA 02180",,,,,,,,,,,,,,,,,,,,7367,,,,,https://ballotpedia.org/Caroline_Colarusso,,2569,,,,,,ocd-division/country:us/state:ma/cd:5,,
Katherine Clark,Katherine,M.,Clark,,,,https://katherineclark.org/wp-content/uploads/2021/12/Landing-Page_Header_SS-edit_Medium-1.png,Democratic Party,U.S. House Massachusetts District 5,U.S. Representative,MA,Incumbent,Massachusetts Congressional District 5,,,Female,1963-07-17,,,,,,,Info@katherineclark.org,https://katherineclark.house.gov,,https://katherineclark.org/,https://www.twitter.com/RepKClark,,https://www.twitter.com/TeamKClark,https://www.youtube.com/c/KatherineClarkMA05,,,,,https://www.instagram.com/repkclark/,https://www.facebook.com/RepKClark,,https://www.facebook.com/KatherineClarkForCongress,,,,,,2448 Rayburn House Office Building,,,202-225-2836,,,,,,,,,,,,,73178,412600,35858,31095,,21375,https://en.wikipedia.org/wiki/Katherine_Clark,/m/0fpjc8b,https://ballotpedia.org/Katherine_Clark,https://api.propublica.org/congress/v1/members/C001101.json,2569,,,H4MA05084,,,ocd-division/country:us/state:ma/cd:5,,
